S0,L,ms,fi,b,RE50Y-2.0,RE50Y-1.8,RE50Y-1.6,RE50Y-1.4,RE50Y-1.2,RE50Y-1.0,RE50Y-0.8,RE50Y-0.6,RE50Y-0.4,RE50Y-0.2,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y1.2,RE50Y1.4,RE50Y1.6,RE50Y1.8,RE50Y2.0,RE50Y-2.0_Error,RE50Y-1.8_Error,RE50Y-1.6_Error,RE50Y-1.4_Error,RE50Y-1.2_Error,RE50Y-1.0_Error,RE50Y-0.8_Error,RE50Y-0.6_Error,RE50Y-0.4_Error,RE50Y-0.2_Error,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error,RE50Y1.2_Error,RE50Y1.4_Error,RE50Y1.6_Error,RE50Y1.8_Error,RE50Y2.0_Error
27.245,36.4,0.728571,-0.11678699999999999,3.15,0.0124725,-0.07887100000000001,0.044113,0.116526,0.185908,0.258245,0.500821,0.31309699999999996,0.251504,0.19112,0.0727243,-0.0764061,-0.220913,-0.336229,-0.432133,-0.43578,-0.471868,-0.5084310000000001,-0.554512,-0.69367,-0.6730550000000001,0.0996071,0.067274,0.0481659,0.0363256,0.0318246,0.030516,0.033933,0.0244474,0.024509599999999996,0.026147800000000002,0.0254443,0.025508199999999998,0.0276327,0.0266079,0.028491500000000003,0.0290442,0.0314886,0.0356473,0.0440978,0.0609226,0.0852824
35.485,45.2,0.962857,0.133213,7.15,0.19621,0.204292,0.229363,0.270676,0.373965,1.0213,0.674059,-0.14929800000000001,0.26971999999999996,0.29896999999999996,0.129593,-0.08110830000000001,-0.15978699999999998,-0.189379,-0.30724,-0.41097,-0.42457399999999995,-0.427836,-0.397555,-0.49582600000000004,-0.497616,0.066473,0.0440957,0.0346162,0.028807799999999998,0.026982599999999995,0.031039499999999998,0.0304295,0.026675599999999997,0.024903599999999998,0.024432699999999998,0.0248312,0.0251234,0.025648200000000003,0.0336938,0.0254294,0.024302599999999997,0.0277827,0.029090300000000003,0.033581900000000005,0.0412181,0.0551206
33.1307,115.6,0.82,0.401068,8.25,-0.00229424,0.136654,0.180539,0.253886,0.37450300000000003,2.28029,0.501783,-0.204122,0.593641,0.408702,0.12303900000000001,-0.143488,-0.362133,-0.422493,-0.5395260000000001,-0.584839,-0.663525,-0.672844,-0.7476079999999999,-0.7009489999999999,-0.623974,0.0790012,0.055027099999999995,0.0406458,0.033630900000000005,0.029162099999999996,0.06018300000000001,0.0201027,0.0241909,0.027908099999999995,0.0265825,0.0266507,0.0274192,0.027589999999999996,0.033258800000000005,0.022172900000000002,0.027952099999999997,0.0318058,0.034187300000000004,0.0404727,0.0510715,0.0687758
27.5393,106.8,0.9914290000000001,0.186784,3.25,0.166978,0.05484780000000001,0.0876203,0.0365892,-0.0235793,0.0286653,0.0829386,0.125057,0.23868699999999998,0.19201600000000002,0.0784576,-0.104124,-0.266469,-0.349211,-0.349043,-0.366595,-0.369253,-0.4161,-0.398425,-0.485753,-0.14837,0.111366,0.0716707,0.052250599999999994,0.0428987,0.0348954,0.030525599999999996,0.0297596,0.0281167,0.0219077,0.0231208,0.0253223,0.0252507,0.0244785,0.0266637,0.0289202,0.030979900000000005,0.0338831,0.039992599999999996,0.0514683,0.065598,0.09565689999999999
33.7193,54.0,0.751429,0.347504,8.35,0.154623,0.212351,0.263702,0.350939,0.449962,2.58943,0.337074,-0.24259699999999998,0.5120640000000001,0.33368400000000004,0.140965,-0.139182,-0.310697,-0.356709,-0.414994,-0.463078,-0.5426449999999999,-0.5650689999999999,-0.550079,-0.6275,-0.60133,0.0629503,0.0428026,0.033197000000000004,0.029400299999999997,0.026972500000000003,0.0609549,0.023964799999999998,0.0238021,0.026157599999999996,0.0256967,0.025570500000000003,0.0262514,0.027061200000000004,0.028932099999999995,0.028002999999999997,0.0278849,0.0284317,0.0306644,0.0338089,0.04252519999999999,0.060162400000000005
33.425,108.057,0.9057139999999999,-0.5275,7.25,-0.05517999999999999,-0.0387497,-0.0943836,-0.007305,0.0718017,0.0132751,0.28665999999999997,0.49955299999999997,0.5511729999999999,0.340495,0.07872029999999999,-0.12310499999999999,-0.22760500000000003,-0.39119899999999996,-0.603954,-0.799074,-0.781957,-0.914292,-0.929892,-1.02688,-1.0878299999999999,0.10893599999999999,0.0716855,0.0485025,0.0400777,0.0325146,0.035223500000000005,0.0312469,0.022251499999999997,0.025823400000000003,0.0268966,0.0253375,0.025750400000000003,0.0271327,0.0259168,0.027375999999999998,0.0344003,0.034704,0.04169369999999999,0.050288099999999995,0.0733412,0.11495999999999999
26.0679,99.2571,0.665714,0.29393,6.85,0.35226999999999997,-0.193722,-0.09348719999999999,-0.018721,0.18466,-0.133056,0.45362600000000003,0.484692,0.472554,0.34867600000000004,0.12251500000000001,-0.146252,-0.338465,-0.475326,-0.619011,-0.728966,-0.658067,-0.7851560000000001,-0.836626,-0.8590709999999999,-0.8691059999999999,0.13635799999999998,0.0756177,0.0516058,0.0395397,0.034623,0.0443465,0.0208127,0.0233689,0.029811,0.028498400000000004,0.0299343,0.0296215,0.0301348,0.0310404,0.021986099999999998,0.0331653,0.0350601,0.0422394,0.0509163,0.0694028,0.109048
31.2179,62.8,0.911429,0.151069,5.25,0.162296,0.140546,0.12100799999999999,0.137657,0.223689,0.344723,0.7858689999999999,0.26511599999999996,-0.00430207,0.20508400000000002,0.0738422,-0.0737502,-0.133383,-0.24349400000000002,-0.337253,-0.338783,-0.396177,-0.466893,-0.462524,-0.576439,-0.607921,0.0847146,0.054934300000000005,0.041993699999999995,0.0331467,0.029235900000000002,0.0283372,0.036064599999999995,0.0239527,0.0248496,0.0253385,0.0250338,0.0256276,0.0290569,0.026242599999999998,0.0274743,0.0277965,0.029555,0.0330759,0.03936869999999999,0.0521279,0.07052430000000001
29.8936,84.1714,0.8714290000000001,-0.027499400000000004,4.25,0.26568400000000003,0.0652087,0.0992063,0.0394873,0.0620562,0.138997,0.246218,0.34458,0.24081,0.22091999999999998,0.0415616,-0.0880633,-0.201041,-0.35287399999999997,-0.42561099999999996,-0.442514,-0.530968,-0.530654,-0.561756,-0.604572,-0.465963,0.11368699999999998,0.0711811,0.051561,0.038404400000000005,0.032644099999999995,0.0298375,0.0350978,0.024071799999999997,0.0228241,0.0256112,0.0255933,0.0251392,0.0268628,0.0247635,0.0285464,0.0302486,0.033349800000000006,0.0381963,0.0454655,0.0611573,0.10054600000000001
29.0107,51.4857,0.9514290000000001,0.0439282,6.15,0.141854,0.020972400000000002,0.106128,0.105518,0.222181,0.370922,0.783879,0.24635500000000002,0.0565607,0.238925,0.08432139999999999,-0.06082100000000001,-0.12775899999999998,-0.277623,-0.37756799999999996,-0.41646700000000003,-0.472529,-0.511414,-0.563028,-0.680089,-0.631368,0.08928989999999999,0.057156500000000006,0.042768400000000005,0.0358269,0.029049000000000002,0.0287793,0.0361284,0.0219757,0.025156,0.025353900000000002,0.025021599999999998,0.0252301,0.0288908,0.0256995,0.0259487,0.028454400000000005,0.0301157,0.034527300000000004,0.0409685,0.0560004,0.07672260000000002
