S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,0.865,2,1.04715,1.00803,0.973914,0.936422,0.895554,0.859746,0.828998,0.797815,0.766198,0.739916,1.40442,1.3788,1.35544,1.32549,1.28897,1.25434,1.22162,1.19147,1.16391,1.13161,1.19511,1.2138,1.2369,1.26108,1.28634,1.31334,1.34208,1.36843,1.39237,1.42819,1.46669,1.50702,1.52923,0.00276575,0.00298675,0.00323025,0.00346825,0.00370075,0.00396575,0.00426325,0.004572,0.004892,0.0052765,0.0035045,0.003849,0.004221,0.00459225,0.00496275,0.005368,0.005808,0.006288,0.006808,0.00734625,0.00241606,0.0025662,0.00287576,0.00326326,0.00372872,0.00427353,0.00489768,0.00559209,0.00635674,0.00769147,0.00978583,0.0124496,0.0147799
35.073,56.1,0.7,0.875,2,1.10251,1.07761,1.05383,1.03268,1.01418,0.995623,0.977013,0.961056,0.94775,0.934526,1.45717,1.46199,1.47449,1.48319,1.48811,1.49325,1.49862,1.51154,1.53201,1.55027,1.17833,1.19174,1.21183,1.23647,1.26567,1.29424,1.32218,1.3574,1.39989,1.4522,1.51733,1.59509,1.65932,0.0030515,0.003352,0.003684,0.00405925,0.00447775,0.004939,0.005443,0.00601175,0.00664525,0.007387,0.00384975,0.004345,0.004921,0.00555775,0.00625525,0.007033,0.007891,0.00894475,0.0101943,0.0115965,0.0025437,0.0026716,0.00296965,0.00336422,0.00385529,0.00442499,0.0050733,0.00586069,0.00678715,0.00839604,0.0110414,0.0146242,0.0181059
32.395,66.9,0.86,0.855,2,1.03399,1.00048,0.968753,0.938526,0.909798,0.883961,0.861016,0.839241,0.818636,0.802357,1.37526,1.36051,1.35044,1.33522,1.31484,1.30092,1.29347,1.27788,1.25415,1.23858,1.18429,1.20326,1.22781,1.25308,1.27907,1.30494,1.33071,1.36067,1.39484,1.43446,1.48758,1.52751,1.54383,0.0028155,0.00305175,0.00330525,0.00357975,0.00387525,0.00420075,0.00455625,0.004952,0.005388,0.0058975,0.0035405,0.00392025,0.00434675,0.00478575,0.00523725,0.005772,0.00639,0.007016,0.00765,0.00840925,0.0024886,0.00263785,0.00295515,0.00335291,0.00383113,0.00438159,0.00500428,0.00573244,0.00656607,0.00796558,0.0102566,0.013041,0.015474
28.275,86.7,0.972,1.095,2,0.98075,0.950345,0.923028,0.900253,0.882018,0.864253,0.846956,0.834357,0.826454,0.820548,1.29211,1.27611,1.26325,1.25493,1.25115,1.24738,1.24363,1.24311,1.24583,1.24286,1.17379,1.19074,1.21475,1.24034,1.2675,1.29342,1.3181,1.34335,1.36916,1.40662,1.45621,1.4988,1.51466,0.002633,0.00285525,0.00309775,0.00337325,0.00368175,0.0040195,0.0043865,0.004821,0.005323,0.0058955,0.00327975,0.0036195,0.0039965,0.00442425,0.00490275,0.0054385,0.0060315,0.0067125,0.0074815,0.008286,0.00245375,0.00258998,0.00289545,0.00328287,0.00375224,0.00428693,0.00488696,0.0055694,0.00633424,0.00766692,0.00983548,0.0125457,0.0148503
27.657,79.5,0.612,0.975,2,1.02525,0.996141,0.972584,0.948469,0.923798,0.905192,0.892652,0.880127,0.867615,0.85882,1.32592,1.32013,1.31798,1.31818,1.32073,1.32819,1.34056,1.34886,1.35309,1.36094,1.17149,1.18124,1.19832,1.21614,1.23469,1.26068,1.29411,1.32578,1.35568,1.41052,1.48489,1.54635,1.58476,0.00290575,0.003173,0.003481,0.00382075,0.00419225,0.004641,0.005167,0.0057565,0.0064095,0.007196,0.003608,0.0040365,0.0045215,0.0050805,0.0057135,0.00646975,0.00734925,0.0083275,0.0094045,0.0106947,0.00266712,0.00277721,0.00306013,0.0034258,0.0038742,0.00443359,0.00510399,0.00587304,0.00674073,0.00839102,0.011204,0.0148357,0.0182297
26.009,95.7,0.996,0.705,2,0.897767,0.844329,0.795835,0.74994,0.706643,0.667212,0.631647,0.599661,0.571257,0.544962,1.1646,1.10873,1.05777,1.00801,0.959451,0.912344,0.866686,0.821425,0.776561,0.739407,1.18225,1.2018,1.22184,1.2425,1.2638,1.2823,1.29798,1.31384,1.32986,1.35155,1.36995,1.36422,1.35702,0.00221925,0.0023025,0.0023935,0.0024855,0.0025785,0.002684,0.002802,0.0029345,0.0030815,0.0032475,0.00267425,0.0027945,0.0029235,0.003055,0.003189,0.00332475,0.00346225,0.00360025,0.00373875,0.00391425,0.0024455,0.00258189,0.00284781,0.00316742,0.00354072,0.00395184,0.00440076,0.00490247,0.00545697,0.00640141,0.00783935,0.0094412,0.0108561
30.747,63.3,0.716,0.915,2,1.04866,1.02178,0.998735,0.975336,0.951586,0.932395,0.917764,0.899027,0.876184,0.866016,1.38181,1.37716,1.37681,1.37891,1.38346,1.38378,1.37988,1.37571,1.37126,1.37114,1.17673,1.19165,1.21154,1.23474,1.26124,1.28911,1.31833,1.34832,1.37909,1.43455,1.49405,1.5483,1.58327,0.0029355,0.003215,0.003529,0.00386775,0.00423125,0.00465125,0.00512775,0.005636,0.006176,0.00688375,0.0036845,0.004123,0.004619,0.005185,0.005821,0.006515,0.007267,0.00810875,0.00904025,0.0101423,0.00257122,0.00270351,0.00300582,0.00339924,0.00388378,0.00445524,0.00511362,0.0058747,0.00673848,0.0083453,0.0108847,0.0141883,0.0171868
28.069,41.7,0.884,0.905,2,1.03032,0.996096,0.9663,0.936824,0.907668,0.879295,0.851706,0.832692,0.822255,0.805895,1.3666,1.34682,1.33082,1.31148,1.28879,1.26917,1.25261,1.24107,1.23455,1.21985,1.19034,1.20634,1.22402,1.2467,1.27437,1.30118,1.32712,1.35267,1.37782,1.41038,1.4577,1.49603,1.51395,0.00279075,0.00302675,0.00328625,0.003561,0.003851,0.00416625,0.00450675,0.00493,0.005436,0.00594325,0.00349925,0.00386275,0.00426425,0.00468475,0.00512425,0.005617,0.006163,0.0068045,0.0075415,0.0082855,0.00247566,0.00261695,0.00291534,0.00330516,0.00378641,0.00433998,0.00496588,0.00567206,0.00645854,0.00780667,0.0100311,0.012789,0.0152215
31.365,72.3,0.692,0.695,2,1.00253,0.966371,0.933263,0.899463,0.864969,0.83813,0.818945,0.799785,0.780649,0.763749,1.32371,1.30014,1.27805,1.25909,1.24324,1.22206,1.19554,1.17243,1.15273,1.13626,1.18504,1.20185,1.22231,1.24506,1.2701,1.29545,1.32112,1.346,1.37008,1.41967,1.459,1.47148,1.4879,0.0028185,0.00303575,0.00327125,0.003518,0.003776,0.00408625,0.00444875,0.00485225,0.00529675,0.005802,0.0035055,0.0038405,0.0042075,0.0046185,0.0050735,0.00554375,0.00602925,0.006584,0.007208,0.00792475,0.00265328,0.00278784,0.00309096,0.00347885,0.00395151,0.0044993,0.00512221,0.00582618,0.00661119,0.00808884,0.0102854,0.0129035,0.0153761
29.305,97.5,0.732,0.605,2,0.913763,0.869757,0.832733,0.798532,0.767155,0.739249,0.714812,0.689655,0.663776,0.644712,1.20411,1.16124,1.12105,1.08396,1.04998,1.01695,0.984893,0.955754,0.929537,0.904498,1.18227,1.2049,1.23083,1.25408,1.27467,1.29621,1.31869,1.33549,1.3466,1.36339,1.3768,1.39353,1.4028,0.002437,0.00256825,0.00272275,0.002887,0.003061,0.0032625,0.0034915,0.00372675,0.00396825,0.004274,0.0030055,0.0031965,0.0033995,0.00362175,0.00386325,0.00412175,0.00439725,0.00470575,0.00504725,0.0054225,0.00263704,0.00277401,0.00306852,0.00342284,0.00383698,0.00430902,0.00483896,0.00541125,0.00602592,0.0070803,0.00870307,0.0107589,0.012553
28.481,52.5,0.9,1.015,2,1.03135,0.99931,0.97105,0.947724,0.929333,0.910232,0.890421,0.873841,0.860492,0.849421,1.37152,1.35912,1.34878,1.33907,1.32999,1.32558,1.32585,1.32395,1.31987,1.31292,1.18294,1.19683,1.21439,1.23837,1.26879,1.29955,1.33064,1.36067,1.38962,1.42229,1.4732,1.52469,1.5457,0.0027965,0.0030405,0.0033055,0.00361075,0.00395625,0.00432875,0.00472825,0.00517975,0.00568325,0.0062725,0.00352325,0.0039145,0.0043475,0.00482075,0.00533425,0.00592675,0.00659825,0.00733625,0.00814075,0.0090195,0.00246252,0.00259652,0.00289244,0.00328424,0.00377194,0.00434029,0.00498927,0.00572091,0.0065352,0.00790694,0.0102031,0.0131025,0.015606
29.511,39.9,0.876,1.055,2,1.07315,1.04604,1.01971,0.996705,0.97703,0.959353,0.943675,0.929591,0.917101,0.904641,1.42118,1.4184,1.41782,1.41675,1.41519,1.41658,1.42094,1.42896,1.44066,1.45241,1.18344,1.19625,1.21188,1.23512,1.26594,1.29586,1.32488,1.35662,1.39109,1.43535,1.49154,1.55438,1.60588,0.0029005,0.00317925,0.00347975,0.003814,0.004182,0.00459725,0.00505975,0.005576,0.006146,0.0067795,0.00365725,0.00410125,0.00459575,0.005142,0.00574,0.00642175,0.00718725,0.00807525,0.00908575,0.0102407,0.00244605,0.00257581,0.0028663,0.00325617,0.00374542,0.00431328,0.00495975,0.00571129,0.00656789,0.00804132,0.0104456,0.0135931,0.0165614
34.455,110.1,0.924,0.945,2,0.993604,0.963716,0.937219,0.913735,0.893261,0.873003,0.852959,0.835891,0.8218,0.809084,1.32173,1.30714,1.29712,1.28972,1.28495,1.27925,1.27263,1.26418,1.2539,1.24976,1.17826,1.19722,1.22079,1.24798,1.27877,1.3064,1.33086,1.35692,1.38459,1.42545,1.47915,1.51926,1.54492,0.0026905,0.00291575,0.00316125,0.0034375,0.0037445,0.00407325,0.00442375,0.00483,0.005292,0.0058015,0.00337775,0.00372875,0.00412025,0.0045595,0.0050465,0.0055835,0.0061705,0.0068,0.007472,0.00828575,0.00248516,0.00263123,0.00294182,0.00333901,0.00382277,0.00436713,0.00497207,0.00566112,0.00643426,0.00779788,0.0100067,0.0126865,0.0151161
