S0,L,ms,fi,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,-0.135661,1.19434,1.21192,1.23344,1.25778,1.28492,1.31206,1.33919,1.36544,1.39081,1.42918,1.47076,1.50127,1.51709,0.0014783,0.0015686,0.00175557,0.00199321,0.00228153,0.00261454,0.00299226,0.0034163,0.00388665,0.0047132,0.00600829,0.00758672,0.00898081
35.073,56.1,0.7,0.285714,1.17779,1.19134,1.20964,1.23401,1.26444,1.29513,1.32608,1.36158,1.40161,1.4532,1.51812,1.59659,1.65511,0.00155663,0.0016348,0.00181482,0.00205576,0.0023576,0.00271148,0.00311739,0.00360118,0.00416282,0.00514327,0.00676129,0.00896646,0.0110487
32.395,66.9,0.86,-0.00679995,1.18462,1.20281,1.22636,1.25178,1.27908,1.30598,1.33249,1.36163,1.39341,1.43365,1.48005,1.51807,1.54192,0.00152451,0.00161443,0.00180679,0.00205087,0.00234667,0.00268606,0.00306905,0.0035118,0.00401432,0.00487219,0.0062451,0.00794452,0.00946792
28.275,86.7,0.972,0.115565,1.17578,1.19279,1.21577,1.23993,1.26528,1.29176,1.31937,1.34603,1.37173,1.405,1.4491,1.48531,1.50366,0.00150577,0.00158926,0.00177469,0.00200909,0.00229248,0.00262103,0.00299473,0.00341652,0.00388638,0.00468878,0.00599276,0.00760304,0.00902788
27.657,79.5,0.612,0.608346,1.1705,1.17938,1.19465,1.21375,1.23669,1.26262,1.29155,1.32245,1.35531,1.40611,1.47931,1.54623,1.5924,0.00163183,0.0016981,0.00186869,0.00209515,0.0023775,0.00271832,0.00311759,0.00358738,0.00412769,0.0051213,0.00683362,0.00908361,0.0112354
26.009,95.7,0.996,-0.414424,1.18083,1.20021,1.22109,1.24272,1.26508,1.28378,1.29883,1.3137,1.32841,1.3471,1.36635,1.36596,1.35846,0.00150079,0.00158447,0.00174913,0.00194713,0.00217848,0.00243166,0.00270667,0.00301261,0.00334948,0.0039201,0.00480762,0.0058132,0.00668087
30.747,63.3,0.716,0.303752,1.17746,1.1918,1.21138,1.23412,1.26001,1.28781,1.31752,1.34849,1.38073,1.43139,1.4926,1.5514,1.58703,0.00157597,0.00165617,0.00184087,0.00208089,0.00237622,0.00272594,0.00313004,0.00359856,0.00413149,0.00509708,0.00666516,0.00870699,0.0105537
28.069,41.7,0.884,0.0262493,1.18924,1.20515,1.22379,1.24655,1.27343,1.29931,1.32419,1.3507,1.37884,1.41448,1.46659,1.50719,1.52887,0.00151441,0.00160092,0.00178486,0.00202334,0.00231634,0.00265319,0.0030339,0.00346877,0.00395782,0.0047951,0.00618408,0.00788763,0.00941084
31.365,72.3,0.692,0.00623778,1.18346,1.20058,1.22235,1.24554,1.27018,1.29664,1.32492,1.35203,1.37795,1.41704,1.46283,1.48958,1.50471,0.00162287,0.0017057,0.00189339,0.0021317,0.00242065,0.00275872,0.00314592,0.00358375,0.00407223,0.00493759,0.0063239,0.00800652,0.00953556
29.305,97.5,0.732,-0.286772,1.18103,1.20273,1.22669,1.25103,1.27574,1.2975,1.31631,1.33263,1.34645,1.36392,1.38138,1.39214,1.39149,0.00161798,0.00170022,0.00187747,0.00209629,0.00235667,0.00264665,0.00296624,0.00331676,0.00369823,0.0043493,0.00536537,0.00659454,0.00764712
