S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error
31.159,43.5,0.98,-0.135661,1.04652,1.00791,0.973935,0.934374,0.889227,0.854192,0.82927,0.799783,0.765729,0.739851,1.40393,1.37597,1.35141,1.32055,1.28338,1.24938,1.21856,1.19406,1.17589,1.14959,0.00478025,0.00517075,0.00560625,0.0060035,0.0063625,0.0068235,0.0073865,0.007935,0.008469,0.009159,0.00606775,0.00665325,0.00728575,0.007918,0.00855,0.00925625,0.0100368,0.0109213,0.0119098,0.0129145
35.073,56.1,0.7,0.285714,1.10218,1.07918,1.0576,1.03752,1.01895,0.999729,0.979867,0.966265,0.958924,0.940049,1.46217,1.46866,1.4823,1.49061,1.49357,1.50324,1.51965,1.5285,1.52982,1.53819,0.0052885,0.0058185,0.0064035,0.00705975,0.00778725,0.00858625,0.00945675,0.0104785,0.0116515,0.0128375,0.00668775,0.0075595,0.0085745,0.009674,0.010858,0.012265,0.013895,0.0156977,0.0176733,0.0199737
32.395,66.9,0.86,-0.00679995,1.03487,1.00322,0.97529,0.943511,0.907882,0.880151,0.860317,0.83654,0.808821,0.790968,1.37617,1.3631,1.35468,1.34018,1.31959,1.30219,1.28799,1.27192,1.25396,1.23509,0.0048805,0.0053015,0.0057645,0.0062335,0.0067085,0.00726175,0.00789325,0.00853575,0.00918925,0.0100517,0.0061375,0.00680175,0.00754725,0.008308,0.009084,0.00997625,0.0109847,0.0120702,0.0132327,0.0144948
28.275,86.7,0.972,0.115565,0.983263,0.953714,0.927506,0.907077,0.892425,0.873342,0.849826,0.83271,0.821994,0.816934,1.29011,1.27406,1.26524,1.25708,1.24956,1.24403,1.24048,1.2396,1.2414,1.24219,0.00457225,0.00496175,0.00539125,0.00588925,0.00645575,0.00703675,0.00763225,0.00835925,0.00921775,0.0102082,0.005674,0.0062695,0.0069485,0.00768975,0.00849325,0.0093975,0.0104025,0.011576,0.012918,0.0143538
27.657,79.5,0.612,0.608346,1.02456,0.992541,0.965419,0.945538,0.932899,0.916278,0.895678,0.881513,0.873785,0.861543,1.32742,1.32144,1.31744,1.31892,1.32587,1.33471,1.34542,1.35242,1.35571,1.35947,0.00503275,0.0054785,0.0059835,0.00660675,0.00734825,0.00812775,0.00894525,0.0099585,0.0111675,0.0124912,0.00626325,0.00699975,0.00781925,0.0088005,0.0099435,0.011265,0.012765,0.0144425,0.0162975,0.0184475
26.009,95.7,0.996,-0.414424,0.894043,0.841089,0.7979,0.754619,0.711246,0.671978,0.636816,0.604545,0.575165,0.549602,1.1692,1.11196,1.0575,1.00804,0.96358,0.916659,0.867271,0.818919,0.771602,0.736932,0.003828,0.0039745,0.0041555,0.00432825,0.00449275,0.00467925,0.00488775,0.00511575,0.00536325,0.005662,0.00465375,0.0048535,0.0050565,0.00528725,0.00554575,0.00578875,0.00601625,0.00624075,0.00646225,0.0067795
30.747,63.3,0.716,0.303752,1.0439,1.0203,1.00457,0.980646,0.948534,0.924388,0.908209,0.894161,0.882245,0.871307,1.37142,1.36714,1.37527,1.38321,1.39096,1.39175,1.38559,1.383,1.38398,1.38499,0.00506125,0.0055645,0.0061515,0.00673225,0.00730675,0.007994,0.008794,0.00972675,0.0107922,0.0119983,0.00634275,0.00710375,0.00799925,0.00901075,0.0101382,0.0113487,0.0126423,0.0141395,0.0158405,0.0177803
28.069,41.7,0.884,0.0262493,1.03133,0.995774,0.963362,0.932849,0.904235,0.876468,0.849546,0.833053,0.826988,0.81048,1.36838,1.34959,1.334,1.31749,1.30005,1.28085,1.25989,1.24475,1.23544,1.22894,0.00483425,0.00523375,0.00567125,0.0061385,0.0066355,0.0071865,0.0077915,0.00854525,0.00944775,0.01032,0.006066,0.00670325,0.00740575,0.00815875,0.00896225,0.009823,0.010741,0.011821,0.013063,0.0144758
31.365,72.3,0.692,0.00623778,0.999191,0.967405,0.944704,0.912822,0.871759,0.841367,0.821643,0.796817,0.766889,0.748578,1.32778,1.30235,1.27643,1.25764,1.24596,1.22314,1.18918,1.15923,1.1333,1.12615,0.004862,0.00526825,0.00574675,0.00619075,0.00660025,0.00712225,0.00775675,0.00839275,0.00903025,0.0098835,0.0060915,0.0066645,0.0072815,0.00799525,0.00880575,0.0095975,0.0103705,0.0112502,0.0122367,0.0136148
29.305,97.5,0.732,-0.286772,0.914989,0.872081,0.837239,0.802928,0.769145,0.738514,0.711036,0.685593,0.662187,0.647089,1.20551,1.16259,1.11862,1.08124,1.05045,1.01614,0.978308,0.946512,0.920751,0.899497,0.00423425,0.00446375,0.00473525,0.0050175,0.0053105,0.00565075,0.00603825,0.0064455,0.0068725,0.0074405,0.00521575,0.00554525,0.00587775,0.00626425,0.00670475,0.00713875,0.00756625,0.00807325,0.00865975,0.0093415
