S0,L,ms,fi,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,-0.135661,1.19088,1.21079,1.23633,1.2632,1.2914,1.31776,1.34228,1.36575,1.38817,1.42939,1.46619,1.51571,1.55364,0.00443346,0.00497805,0.00566008,0.00647955,0.0074181,0.00847571,0.009665,0.010986,0.0133402,0.0169267,0.0217095,0.0260184
35.073,56.1,0.7,0.285714,1.179,1.19184,1.21153,1.23724,1.26898,1.29893,1.32709,1.36151,1.4022,1.45164,1.52797,1.58869,1.63803,0.00462885,0.00514737,0.00583673,0.00669691,0.0076917,0.00882109,0.0101825,0.0117759,0.014525,0.019285,0.0252144,0.0310328
32.395,66.9,0.86,-0.00679995,1.18277,1.20245,1.22916,1.25423,1.27768,1.3031,1.3305,1.35935,1.38966,1.4379,1.48861,1.53616,1.56143,0.00456379,0.0051222,0.00581034,0.00662821,0.00758053,0.00866731,0.00991478,0.0113229,0.0138402,0.0177505,0.0227046,0.0270256
28.275,86.7,0.972,0.115565,1.17036,1.18708,1.21473,1.24221,1.26953,1.29297,1.31256,1.33648,1.36473,1.3932,1.44279,1.49964,1.52056,0.00447487,0.00501624,0.00569503,0.00651125,0.00742243,0.00842858,0.00960333,0.0109467,0.013155,0.0168971,0.0217971,0.0258767
27.657,79.5,0.612,0.608346,1.16922,1.17889,1.19661,1.21415,1.23151,1.259,1.29661,1.33206,1.36534,1.40833,1.48017,1.54298,1.57848,0.00479931,0.00529124,0.00592211,0.00669192,0.0076739,0.00886804,0.0102285,0.0117551,0.0144998,0.0193403,0.0255729,0.0314471
26.009,95.7,0.996,-0.414424,1.18557,1.20565,1.22176,1.24096,1.26324,1.28591,1.30898,1.32218,1.32548,1.34614,1.36291,1.34758,1.34125,0.00448437,0.00493054,0.00548041,0.00613398,0.00687179,0.00769384,0.00853879,0.00940663,0.0110392,0.0135068,0.0161658,0.0185888
30.747,63.3,0.716,0.303752,1.17919,1.19429,1.21117,1.23468,1.26482,1.29134,1.31427,1.34028,1.36936,1.43987,1.51588,1.55793,1.58972,0.00469564,0.00520405,0.00588863,0.0067494,0.00773138,0.0088346,0.0101209,0.0115903,0.0145309,0.0191397,0.0247331,0.0299792
28.069,41.7,0.884,0.0262493,1.1876,1.20513,1.22692,1.24996,1.27425,1.30013,1.32758,1.35603,1.38548,1.42562,1.4727,1.49405,1.5175,0.00453113,0.00506382,0.00573945,0.00655802,0.00751105,0.00859855,0.00984513,0.0112508,0.0136695,0.0175507,0.0220838,0.0264393
31.365,72.3,0.692,0.00623778,1.18326,1.2002,1.22268,1.24727,1.27397,1.30145,1.32972,1.34631,1.35123,1.40528,1.45042,1.46697,1.50458,0.0048265,0.00535716,0.00603659,0.00686476,0.00782886,0.00892888,0.010083,0.0112914,0.0138966,0.0177194,0.0223185,0.0269817
29.305,97.5,0.732,-0.286772,1.18359,1.20772,1.23564,1.25701,1.27182,1.29235,1.3186,1.33321,1.33617,1.35679,1.37591,1.38578,1.38998,0.00481657,0.00533405,0.00593987,0.00663401,0.00745161,0.00839264,0.00935751,0.0103462,0.0122095,0.0150912,0.0185562,0.0215464
28.481,52.5,0.9,0.125889,1.18549,1.19914,1.21492,1.2401,1.27469,1.30487,1.33064,1.36031,1.3939,1.42551,1.47512,1.51563,1.52328,0.00450391,0.0050074,0.00569423,0.00656441,0.00754426,0.00863376,0.0099077,0.0113661,0.0137226,0.0177047,0.0225696,0.0266296
