S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error
33.425,106.5,0.892,-0.338778,0.974294,0.933637,0.894388,0.860395,0.831656,0.799435,0.763731,0.735737,0.715454,0.693617,0.00431125,0.00458125,0.00485775,0.0051675,0.0055105,0.00583775,0.00614925,0.0065485,0.0070355,0.0075315
27.039,93.9,0.66,0.499923,0.966368,0.938991,0.916933,0.892928,0.866974,0.850379,0.84314,0.834733,0.825159,0.814598,0.00476575,0.00520625,0.00570875,0.00624025,0.00680075,0.00750375,0.00834925,0.0092895,0.0103245,0.0114608
33.013,101.1,0.852,0.234742,1.00292,0.978799,0.96085,0.943514,0.92679,0.915746,0.910383,0.89722,0.876257,0.864661,0.00476225,0.0052185,0.0057255,0.006291,0.006915,0.00763575,0.00845325,0.00929,0.010146,0.0111863
31.983,111.9,0.908,0.0962965,0.964952,0.936122,0.910902,0.889811,0.872852,0.856254,0.840018,0.827334,0.818203,0.806779,0.00451725,0.00490875,0.00533025,0.00581225,0.00635475,0.00694525,0.00758375,0.00831725,0.00914575,0.0100208
30.129,83.1,0.748,-0.213489,0.951936,0.9112,0.873209,0.835398,0.797767,0.766731,0.74229,0.718514,0.695401,0.677201,0.00446175,0.00475775,0.00507125,0.00538625,0.00570275,0.006082,0.006524,0.00701825,0.00756475,0.00819425
31.777,92.1,0.828,0.241546,1.01457,0.988623,0.963032,0.940687,0.921586,0.902419,0.883185,0.871063,0.866052,0.860437,0.00484475,0.00529775,0.00577325,0.00631125,0.00691175,0.00756125,0.00825975,0.00911725,0.0101338,0.0112565
35.485,57.9,0.916,0.170044,1.0955,1.07204,1.05185,1.03324,1.01621,1.00229,0.991487,0.974337,0.950844,0.940382,0.0050615,0.00558375,0.00615325,0.00678575,0.00748125,0.00827475,0.00916625,0.0100595,0.0109545,0.0121218
26.421,54.3,0.788,-0.00484982,0.976564,0.935439,0.900689,0.870306,0.84429,0.818223,0.792106,0.767915,0.74565,0.728392,0.00464925,0.00499175,0.00536725,0.0057925,0.0062675,0.006773,0.007309,0.007919,0.008603,0.00941425
29.717,32.7,0.708,-0.162374,1.04112,0.998095,0.956518,0.914809,0.872968,0.838593,0.811686,0.783625,0.754409,0.727151,0.00489025,0.00524075,0.00560425,0.0059745,0.0063515,0.00682125,0.00738375,0.00794725,0.00851175,0.00915275
28.275,86.7,0.972,0.115565,0.97479,0.946587,0.92393,0.903304,0.884709,0.864931,0.84397,0.833257,0.832794,0.823866,0.00451775,0.00492325,0.00536375,0.00585025,0.00638275,0.00695775,0.00757525,0.00835525,0.00929775,0.0102083
27.657,79.5,0.612,0.608346,1.03149,1.00321,0.973599,0.94855,0.928064,0.910654,0.896319,0.884498,0.875191,0.868814,0.00506,0.0055335,0.0060425,0.00662975,0.00729525,0.008069,0.008951,0.0099815,0.0111605,0.012548
