S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,0.865,2,1.04755,1.00923,0.97691,0.938816,0.894948,0.85761,0.826801,0.796091,0.76548,0.742223,1.40678,1.37983,1.35459,1.32287,1.28467,1.25042,1.22012,1.19378,1.17139,1.14043,1.19276,1.2121,1.23684,1.26224,1.2883,1.3155,1.34382,1.36768,1.38709,1.42323,1.46736,1.51581,1.53617,0.00339,0.0036655,0.0039725,0.00426,0.004528,0.004846,0.005214,0.00559675,0.00599425,0.0064935,0.004301,0.00471825,0.00516475,0.00560875,0.00605025,0.00655025,0.00710875,0.0077225,0.0083915,0.009059,0.00295301,0.00313835,0.00352138,0.00399975,0.00457346,0.00524307,0.0060086,0.00684648,0.00775672,0.00938622,0.0119981,0.0153537,0.0181742
35.073,56.1,0.7,0.875,2,1.1026,1.07769,1.05486,1.03467,1.01711,0.998687,0.979385,0.963305,0.950445,0.935439,1.45479,1.46115,1.47754,1.48549,1.48497,1.4901,1.50086,1.51387,1.52913,1.54786,1.17889,1.19268,1.213,1.23676,1.26395,1.29168,1.31994,1.35653,1.40143,1.44816,1.51285,1.59057,1.65545,0.0037375,0.0041055,0.0045145,0.004982,0.005508,0.00607375,0.00667925,0.00737275,0.00815425,0.0090465,0.004706,0.00531875,0.00604025,0.0068125,0.0076355,0.008593,0.009685,0.010984,0.01249,0.0142177,0.00311678,0.00327472,0.00364173,0.0041217,0.00471462,0.00540826,0.00620263,0.00717331,0.00832029,0.01025,0.0134904,0.0178598,0.0221575
32.395,66.9,0.86,0.855,2,1.03575,1.00231,0.969884,0.939159,0.910133,0.884732,0.862957,0.8408,0.818263,0.801004,1.3753,1.36157,1.35048,1.33625,1.31887,1.30344,1.28995,1.27489,1.25825,1.24461,1.18378,1.2028,1.22836,1.25267,1.27572,1.301,1.32851,1.35926,1.39327,1.43657,1.48443,1.52743,1.55393,0.0034575,0.00374625,0.00405075,0.0043845,0.0047475,0.0051495,0.0055905,0.00606825,0.00658275,0.0072015,0.0043345,0.00480325,0.00532375,0.005866,0.00643,0.00707375,0.00779725,0.00857225,0.00939875,0.010347,0.00304596,0.00322891,0.00362053,0.00410349,0.0046778,0.00535022,0.00612075,0.00701426,0.00803075,0.00976904,0.0125205,0.0159678,0.0190586
28.275,86.7,0.972,1.095,2,0.981696,0.951335,0.92503,0.90317,0.885756,0.866814,0.846346,0.831735,0.822982,0.816749,1.2913,1.27617,1.2658,1.25761,1.25159,1.24537,1.23895,1.23715,1.23997,1.24072,1.17338,1.19018,1.21543,1.24067,1.26592,1.29104,1.31603,1.34201,1.36896,1.40303,1.45079,1.49721,1.51911,0.0032265,0.0035,0.003804,0.004147,0.004529,0.0049375,0.0053725,0.00589675,0.00651025,0.007204,0.00401625,0.004437,0.004909,0.005432,0.006006,0.0066455,0.0073505,0.0081775,0.0091265,0.0101395,0.00300395,0.00317091,0.00354959,0.00402292,0.00459091,0.00524205,0.00597634,0.00681618,0.00776159,0.00936552,0.0120033,0.0153723,0.0182761
27.657,79.5,0.612,0.975,2,1.02434,0.993298,0.967755,0.944901,0.924736,0.908675,0.896716,0.885412,0.874762,0.863939,1.32766,1.32366,1.32221,1.32405,1.3292,1.33386,1.33804,1.34635,1.35882,1.36782,1.17017,1.17974,1.19763,1.21478,1.2312,1.25865,1.29715,1.33324,1.36693,1.41991,1.48028,1.53727,1.58349,0.0035535,0.00387275,0.00424025,0.0046635,0.0051425,0.0057035,0.0063465,0.007084,0.007916,0.008867,0.00442925,0.00496125,0.00555775,0.006253,0.007047,0.007958,0.008986,0.0101932,0.0115797,0.0131522,0.00326269,0.00339741,0.00374685,0.00419112,0.00473023,0.0054228,0.00626882,0.00723664,0.00832623,0.010344,0.0136641,0.0180712,0.0223191
26.009,95.7,0.996,0.705,2,0.898057,0.844937,0.796436,0.750936,0.708435,0.668793,0.632008,0.599591,0.571542,0.546296,1.16542,1.1081,1.05461,1.00527,0.9601,0.914212,0.867611,0.820369,0.772489,0.736002,1.18297,1.2022,1.21976,1.24059,1.26468,1.28395,1.29841,1.312,1.32474,1.34769,1.37012,1.3593,1.34756,0.002719,0.00282175,0.00293325,0.0030475,0.0031645,0.00329225,0.00343075,0.00359025,0.00377075,0.003981,0.00327825,0.00342025,0.00356875,0.0037315,0.0039085,0.00408,0.004246,0.00440675,0.00456225,0.00478175,0.00299731,0.00316274,0.00348105,0.00387377,0.00434089,0.00484687,0.00539171,0.00599463,0.00665561,0.00781666,0.00960016,0.011516,0.0132018
30.747,63.3,0.716,0.915,2,1.04909,1.02358,1.00237,0.978595,0.952265,0.931431,0.916095,0.89825,0.877897,0.868216,1.3767,1.37151,1.37441,1.37853,1.38387,1.38377,1.37825,1.37705,1.38017,1.38028,1.17715,1.19195,1.21122,1.23485,1.26285,1.28883,1.31279,1.3404,1.37166,1.43187,1.4953,1.55326,1.58979,0.00359675,0.003945,0.004339,0.004754,0.00519,0.00569675,0.00627425,0.006904,0.007586,0.00845825,0.0044945,0.00503,0.00565,0.0063505,0.0071315,0.007979,0.008893,0.00994875,0.0111462,0.0125018,0.00315125,0.00331328,0.00368191,0.00416571,0.0047647,0.0054542,0.00623423,0.00715298,0.00821046,0.0102102,0.0133505,0.0174451,0.0211418
28.069,41.7,0.884,0.905,2,1.0282,0.993459,0.964236,0.936009,0.908779,0.880798,0.852065,0.832546,0.822241,0.804536,1.368,1.34856,1.33203,1.3129,1.2912,1.27214,1.25573,1.24216,1.23143,1.21584,1.18801,1.20412,1.22281,1.24597,1.27362,1.30207,1.33133,1.35797,1.38198,1.41214,1.45976,1.49488,1.51175,0.003407,0.00369325,0.00401375,0.004356,0.00472,0.00511,0.005526,0.00603975,0.00665125,0.00725325,0.00429025,0.004738,0.00523,0.00574775,0.00629125,0.00689975,0.00757325,0.008344,0.009212,0.010116,0.0030262,0.00319963,0.0035678,0.00404608,0.00463448,0.00531878,0.006099,0.00697031,0.00793272,0.00957119,0.0123117,0.0156452,0.0186092
31.365,72.3,0.692,0.695,2,0.999464,0.963379,0.933926,0.901175,0.865124,0.836956,0.81667,0.795054,0.77211,0.756489,1.3231,1.29866,1.27529,1.2567,1.24289,1.22306,1.19723,1.17328,1.15123,1.13693,1.18592,1.20187,1.22059,1.24247,1.26751,1.29494,1.32477,1.34843,1.36593,1.41688,1.46374,1.48371,1.50297,0.00343975,0.00370725,0.00400975,0.004316,0.004626,0.005,0.005438,0.00590675,0.00640625,0.00703475,0.00429275,0.00470075,0.00514425,0.0056475,0.0062105,0.00679325,0.00739575,0.00806975,0.00881525,0.00971475,0.00325242,0.00341412,0.0037784,0.00424924,0.00482662,0.00550779,0.00629272,0.007147,0.00807063,0.00989091,0.0126453,0.0159364,0.0190041
29.305,97.5,0.732,0.605,2,0.913805,0.869998,0.833653,0.799249,0.766787,0.737776,0.712218,0.687211,0.662754,0.646165,1.20387,1.1607,1.11989,1.08367,1.05202,1.01838,0.982738,0.951918,0.925913,0.90076,1.1833,1.20571,1.23054,1.25324,1.27382,1.29553,1.31838,1.33443,1.34366,1.36442,1.38007,1.39145,1.39382,0.002984,0.00314525,0.00333775,0.00353725,0.00374375,0.0039845,0.0042595,0.00455025,0.00485675,0.00525175,0.00368025,0.003913,0.004159,0.00443475,0.00474025,0.0050525,0.0053715,0.005741,0.006161,0.006615,0.00323268,0.00339949,0.00375613,0.0041885,0.00469658,0.0052752,0.00592436,0.00662008,0.00736236,0.00867746,0.010679,0.0131608,0.0152748
