S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.159,43.5,0.98,0.865,2,1.04652,1.00791,0.973935,0.934374,0.889227,0.854192,0.82927,0.799783,0.765729,0.739851,1.40393,1.37597,1.35141,1.32055,1.28338,1.24938,1.21856,1.19406,1.17589,1.14959,1.19088,1.21079,1.23633,1.2632,1.2914,1.31776,1.34228,1.36575,1.38817,1.42939,1.46619,1.51571,1.55364,0.00478025,0.00517075,0.00560625,0.0060035,0.0063625,0.0068235,0.0073865,0.007935,0.008469,0.009159,0.00606775,0.00665325,0.00728575,0.007918,0.00855,0.00925625,0.0100368,0.0109213,0.0119098,0.0129145,0.00416966,0.00443346,0.00497805,0.00566008,0.00647955,0.0074181,0.00847571,0.009665,0.010986,0.0133402,0.0169267,0.0217095,0.0260184
35.073,56.1,0.7,0.875,2,1.10218,1.07918,1.0576,1.03752,1.01895,0.999729,0.979867,0.966265,0.958924,0.940049,1.46217,1.46866,1.4823,1.49061,1.49357,1.50324,1.51965,1.5285,1.52982,1.53819,1.179,1.19184,1.21153,1.23724,1.26898,1.29893,1.32709,1.36151,1.4022,1.45164,1.52797,1.58869,1.63803,0.0052885,0.0058185,0.0064035,0.00705975,0.00778725,0.00858625,0.00945675,0.0104785,0.0116515,0.0128375,0.00668775,0.0075595,0.0085745,0.009674,0.010858,0.012265,0.013895,0.0156977,0.0176733,0.0199737,0.00440783,0.00462885,0.00514737,0.00583673,0.00669691,0.0076917,0.00882109,0.0101825,0.0117759,0.014525,0.019285,0.0252144,0.0310328
32.395,66.9,0.86,0.855,2,1.03487,1.00322,0.97529,0.943511,0.907882,0.880151,0.860317,0.83654,0.808821,0.790968,1.37617,1.3631,1.35468,1.34018,1.31959,1.30219,1.28799,1.27192,1.25396,1.23509,1.18277,1.20245,1.22916,1.25423,1.27768,1.3031,1.3305,1.35935,1.38966,1.4379,1.48861,1.53616,1.56143,0.0048805,0.0053015,0.0057645,0.0062335,0.0067085,0.00726175,0.00789325,0.00853575,0.00918925,0.0100517,0.0061375,0.00680175,0.00754725,0.008308,0.009084,0.00997625,0.0109847,0.0120702,0.0132327,0.0144948,0.00430289,0.00456379,0.0051222,0.00581034,0.00662821,0.00758053,0.00866731,0.00991478,0.0113229,0.0138402,0.0177505,0.0227046,0.0270256
28.275,86.7,0.972,1.095,2,0.983263,0.953714,0.927506,0.907077,0.892425,0.873342,0.849826,0.83271,0.821994,0.816934,1.29011,1.27406,1.26524,1.25708,1.24956,1.24403,1.24048,1.2396,1.2414,1.24219,1.17036,1.18708,1.21473,1.24221,1.26953,1.29297,1.31256,1.33648,1.36473,1.3932,1.44279,1.49964,1.52056,0.00457225,0.00496175,0.00539125,0.00588925,0.00645575,0.00703675,0.00763225,0.00835925,0.00921775,0.0102082,0.005674,0.0062695,0.0069485,0.00768975,0.00849325,0.0093975,0.0104025,0.011576,0.012918,0.0143538,0.00423917,0.00447487,0.00501624,0.00569503,0.00651125,0.00742243,0.00842858,0.00960333,0.0109467,0.013155,0.0168971,0.0217971,0.0258767
27.657,79.5,0.612,0.975,2,1.02456,0.992541,0.965419,0.945538,0.932899,0.916278,0.895678,0.881513,0.873785,0.861543,1.32742,1.32144,1.31744,1.31892,1.32587,1.33471,1.34542,1.35242,1.35571,1.35947,1.16922,1.17889,1.19661,1.21415,1.23151,1.259,1.29661,1.33206,1.36534,1.40833,1.48017,1.54298,1.57848,0.00503275,0.0054785,0.0059835,0.00660675,0.00734825,0.00812775,0.00894525,0.0099585,0.0111675,0.0124912,0.00626325,0.00699975,0.00781925,0.0088005,0.0099435,0.011265,0.012765,0.0144425,0.0162975,0.0184475,0.00461035,0.00479931,0.00529124,0.00592211,0.00669192,0.0076739,0.00886804,0.0102285,0.0117551,0.0144998,0.0193403,0.0255729,0.0314471
26.009,95.7,0.996,0.705,2,0.894043,0.841089,0.7979,0.754619,0.711246,0.671978,0.636816,0.604545,0.575165,0.549602,1.1692,1.11196,1.0575,1.00804,0.96358,0.916659,0.867271,0.818919,0.771602,0.736932,1.18557,1.20565,1.22176,1.24096,1.26324,1.28591,1.30898,1.32218,1.32548,1.34614,1.36291,1.34758,1.34125,0.003828,0.0039745,0.0041555,0.00432825,0.00449275,0.00467925,0.00488775,0.00511575,0.00536325,0.005662,0.00465375,0.0048535,0.0050565,0.00528725,0.00554575,0.00578875,0.00601625,0.00624075,0.00646225,0.0067795,0.00424721,0.00448437,0.00493054,0.00548041,0.00613398,0.00687179,0.00769384,0.00853879,0.00940663,0.0110392,0.0135068,0.0161658,0.0185888
30.747,63.3,0.716,0.915,2,1.0439,1.0203,1.00457,0.980646,0.948534,0.924388,0.908209,0.894161,0.882245,0.871307,1.37142,1.36714,1.37527,1.38321,1.39096,1.39175,1.38559,1.383,1.38398,1.38499,1.17919,1.19429,1.21117,1.23468,1.26482,1.29134,1.31427,1.34028,1.36936,1.43987,1.51588,1.55793,1.58972,0.00506125,0.0055645,0.0061515,0.00673225,0.00730675,0.007994,0.008794,0.00972675,0.0107922,0.0119983,0.00634275,0.00710375,0.00799925,0.00901075,0.0101382,0.0113487,0.0126423,0.0141395,0.0158405,0.0177803,0.00446558,0.00469564,0.00520405,0.00588863,0.0067494,0.00773138,0.0088346,0.0101209,0.0115903,0.0145309,0.0191397,0.0247331,0.0299792
28.069,41.7,0.884,0.905,2,1.03133,0.995774,0.963362,0.932849,0.904235,0.876468,0.849546,0.833053,0.826988,0.81048,1.36838,1.34959,1.334,1.31749,1.30005,1.28085,1.25989,1.24475,1.23544,1.22894,1.1876,1.20513,1.22692,1.24996,1.27425,1.30013,1.32758,1.35603,1.38548,1.42562,1.4727,1.49405,1.5175,0.00483425,0.00523375,0.00567125,0.0061385,0.0066355,0.0071865,0.0077915,0.00854525,0.00944775,0.01032,0.006066,0.00670325,0.00740575,0.00815875,0.00896225,0.009823,0.010741,0.011821,0.013063,0.0144758,0.00428051,0.00453113,0.00506382,0.00573945,0.00655802,0.00751105,0.00859855,0.00984513,0.0112508,0.0136695,0.0175507,0.0220838,0.0264393
31.365,72.3,0.692,0.695,2,0.999191,0.967405,0.944704,0.912822,0.871759,0.841367,0.821643,0.796817,0.766889,0.748578,1.32778,1.30235,1.27643,1.25764,1.24596,1.22314,1.18918,1.15923,1.1333,1.12615,1.18326,1.2002,1.22268,1.24727,1.27397,1.30145,1.32972,1.34631,1.35123,1.40528,1.45042,1.46697,1.50458,0.004862,0.00526825,0.00574675,0.00619075,0.00660025,0.00712225,0.00775675,0.00839275,0.00903025,0.0098835,0.0060915,0.0066645,0.0072815,0.00799525,0.00880575,0.0095975,0.0103705,0.0112502,0.0122367,0.0136148,0.00459252,0.0048265,0.00535716,0.00603659,0.00686476,0.00782886,0.00892888,0.010083,0.0112914,0.0138966,0.0177194,0.0223185,0.0269817
29.305,97.5,0.732,0.605,2,0.914989,0.872081,0.837239,0.802928,0.769145,0.738514,0.711036,0.685593,0.662187,0.647089,1.20551,1.16259,1.11862,1.08124,1.05045,1.01614,0.978308,0.946512,0.920751,0.899497,1.18359,1.20772,1.23564,1.25701,1.27182,1.29235,1.3186,1.33321,1.33617,1.35679,1.37591,1.38578,1.38998,0.00423425,0.00446375,0.00473525,0.0050175,0.0053105,0.00565075,0.00603825,0.0064455,0.0068725,0.0074405,0.00521575,0.00554525,0.00587775,0.00626425,0.00670475,0.00713875,0.00756625,0.00807325,0.00865975,0.0093415,0.00457318,0.00481657,0.00533405,0.00593987,0.00663401,0.00745161,0.00839264,0.00935751,0.0103462,0.0122095,0.0150912,0.0185562,0.0215464
