S0,L,ms,fi,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
33.1307,119.357,0.694286,-0.2775,0.00049761,0.186465,0.368639,0.465991,0.523859,0.539621,0.0147104,0.0147894,0.0128365,0.0119346,0.0150328,0.0150394
35.0436,115.5,0.671429,0.329643,-0.00715032,0.142412,0.262615,0.368978,0.415062,0.470432,0.0384222,0.0394011,0.0378648,0.0355016,0.0424375,0.0425361
32.9836,40.9286,0.911429,0.151071,-0.00468818,0.00396061,0.0941889,0.163294,0.25012,0.297323,0.012734,0.0128335,0.0132365,0.0137943,0.012994,0.0130633
33.425,65.3571,0.825714,-0.581071,-0.0193985,0.0770644,0.16454,0.254333,0.330195,0.413782,0.0132477,0.0130312,0.0127253,0.0139222,0.0138948,0.0143315
34.6021,83.3571,0.625714,-0.0632143,0.00435324,0.150451,0.242258,0.357276,0.415182,0.43141,0.0387481,0.0404688,0.0398655,0.0369326,0.0419587,0.0407401
28.8636,52.5,0.985714,-0.491786,-0.026402,0.101226,0.196516,0.261896,0.333445,0.431502,0.0101629,0.0116323,0.0129687,0.0139928,0.0139794,0.014963
32.2479,31.9286,0.768571,0.0260714,-0.00636982,0.0318909,0.110547,0.1972,0.266858,0.334727,0.0363172,0.0375459,0.0381146,0.0395978,0.0392813,0.0387291
27.9807,98.7857,0.631429,-0.366786,-0.0188168,0.190601,0.450735,0.57421,0.649541,0.637085,0.045534,0.0455793,0.0381604,0.0320854,0.0436026,0.0477319
35.485,82.0714,0.831429,0.508214,0.00174728,0.0275755,0.120323,0.192443,0.273577,0.328307,0.0130322,0.0132672,0.0133307,0.0140808,0.0136056,0.0135267
31.6593,105.214,0.688571,-0.00964286,-0.00637938,0.182966,0.338541,0.447124,0.479545,0.467191,0.040569,0.0407419,0.0367534,0.0336145,0.0420435,0.0425251
27.245,109.071,0.968571,0.3475,0.00437037,0.151774,0.23559,0.278444,0.320672,0.375171,0.0303487,0.0323465,0.0349303,0.0406746,0.0401414,0.0439027
32.5421,69.2143,0.814286,-0.348929,-0.0102093,0.0870727,0.179072,0.251158,0.328481,0.39273,0.0132673,0.0132622,0.0122942,0.0133815,0.0139001,0.0139508
28.7164,79.5,0.888571,-0.545357,-0.0407438,0.19198,0.300907,0.39269,0.418297,0.531102,0.0328555,0.0329785,0.0347384,0.0437241,0.0437575,0.0465553
31.0707,70.5,0.722857,0.0796429,-0.0109847,0.108208,0.224535,0.315009,0.348179,0.426425,0.0367997,0.0378349,0.0360971,0.0370295,0.0413408,0.0415538
27.5393,37.0714,0.654286,-0.223929,0.0104886,0.138888,0.229874,0.34174,0.392425,0.418725,0.038509,0.040023,0.0394515,0.0361733,0.0420014,0.0421665
31.5121,64.0714,0.665714,0.526071,0.00958348,0.0635568,0.156531,0.242177,0.317563,0.373895,0.0384944,0.0390651,0.0396081,0.0398602,0.0420938,0.0415027
26.0679,34.5,0.951429,-0.188214,-0.00770569,0.081581,0.172389,0.23942,0.286451,0.351794,0.0119538,0.0117821,0.0118209,0.0136931,0.01379,0.0144701
27.6864,44.7857,0.797143,-0.420357,0.00398505,0.112523,0.215071,0.302647,0.350935,0.406615,0.0375127,0.0383729,0.0340732,0.0365258,0.0430249,0.0410596
29.0107,85.9286,0.762857,0.00821429,0.0136028,0.138577,0.298758,0.393863,0.397305,0.456287,0.039475,0.0385789,0.0331281,0.035749,0.0425914,0.041977
34.7493,58.9286,0.82,0.615357,0.0134484,0.00102305,0.0490576,0.159514,0.209915,0.271999,0.0373697,0.0384573,0.0395353,0.0414022,0.0386716,0.038085
31.8064,118.071,0.608571,0.561786,-0.0161155,0.159058,0.292224,0.412077,0.450982,0.495614,0.0396432,0.041366,0.0396307,0.0364547,0.0421954,0.0449649
28.275,30.6429,0.637143,0.490357,-0.0146129,0.0585965,0.149468,0.208466,0.267921,0.322432,0.0385567,0.0390311,0.0410016,0.0419859,0.0423131,0.042324
27.3921,96.2143,0.854286,-0.456071,-0.022015,0.233792,0.368364,0.501757,0.562555,0.571116,0.0369702,0.0343576,0.0316291,0.0410243,0.0524064,0.0473894
29.5993,76.9286,0.74,-0.384643,-0.00159953,0.156139,0.281781,0.389734,0.480232,0.491562,0.0396163,0.0395718,0.0356586,0.034919,0.0446222,0.0436613
34.455,103.929,0.997143,0.168929,0.000597806,0.0578642,0.1451,0.198526,0.274011,0.31452,0.0336427,0.0339296,0.0356727,0.0386018,0.0369105,0.0387873
33.8664,39.6429,0.905714,0.4725,-0.00268397,-0.0183316,0.0385406,0.0957548,0.193643,0.249777,0.0135401,0.0137386,0.0139065,0.0140958,0.0135513,0.0132836
25.7736,114.214,0.734286,-0.1525,-0.0241818,0.30884,0.527002,0.611763,0.64946,0.568224,0.0444678,0.0433914,0.0327182,0.0326053,0.0477651,0.051969
34.8964,67.9286,0.774286,0.5975,-0.0071143,0.0402614,0.0807343,0.150535,0.226356,0.295378,0.0133484,0.013747,0.014126,0.0143048,0.0144966,0.0139676
26.6564,87.2143,0.945714,0.0617857,-0.0184591,0.151315,0.270925,0.338404,0.34668,0.451734,0.0356635,0.0340236,0.0316306,0.039435,0.0421463,0.0454352
33.2779,66.6429,0.877143,0.579643,-0.00165508,0.00716068,0.0723828,0.13645,0.215402,0.264284,0.0134285,0.0136625,0.013567,0.0140219,0.0138655,0.0136248
35.3379,106.5,0.991429,0.186786,-0.00597151,0.0467232,0.137684,0.182888,0.256985,0.320692,0.0127242,0.0125329,0.0122722,0.0137801,0.0135628,0.0136137
