S0,L,ms,fi,b,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
33.5721,89.7857,0.802857,-0.563214,5.17857,0.0700851,0.175366,0.257818,0.32256,0.371423,0.514512,0.00985583,0.00972185,0.00898621,0.00920076,0.0108862,0.0105933
29.1579,51.2143,0.78,-0.170357,7.36429,0.0940663,0.197098,0.271277,0.310078,0.347646,0.379555,0.00955105,0.0097127,0.0103181,0.00872674,0.00923303,0.0109323
33.7193,101.357,0.808571,0.543929,9.16429,0.0975092,0.242274,0.401876,0.539907,0.44801,0.320241,0.0263531,0.0268135,0.0280941,0.0368526,0.0217897,0.0277762
28.5693,111.643,0.9,0.365357,5.56429,0.104253,0.175075,0.288986,0.339111,0.336896,0.464418,0.0278628,0.0259296,0.022733,0.0257895,0.0315262,0.0319806
33.1307,119.357,0.694286,-0.2775,1.06429,0.0742165,0.233836,0.402915,0.487316,0.543181,0.552211,0.0106032,0.0105832,0.00889289,0.00812832,0.0105353,0.0105972
31.8064,118.071,0.608571,0.561786,3.63571,0.0315645,0.236755,0.299319,0.453605,0.450527,0.483364,0.0284535,0.0297255,0.0274772,0.0247717,0.0294331,0.0318864
27.5393,37.0714,0.654286,-0.223929,2.86429,0.0782474,0.187117,0.271541,0.369514,0.411872,0.435949,0.0276858,0.0287094,0.0275419,0.0247857,0.0294002,0.029759
26.3621,107.786,0.974286,0.240357,7.10714,0.0753614,0.163575,0.340512,0.41353,0.487508,0.453335,0.0277317,0.0281885,0.0247796,0.0213297,0.0312417,0.0361227
30.0407,60.2143,0.94,0.276071,9.03571,0.0975506,0.265978,0.388201,0.465098,0.424221,0.275004,0.0255321,0.0258841,0.0283006,0.0346508,0.0207829,0.027868
25.7736,114.214,0.734286,-0.1525,4.40714,0.0477344,0.339339,0.554874,0.632757,0.604279,0.587984,0.0320356,0.0307122,0.0223327,0.022212,0.0333518,0.0370266
28.4221,42.2143,0.928571,-0.259643,6.72143,0.112334,0.14955,0.200437,0.243349,0.249822,0.402122,0.0266552,0.0277272,0.0259097,0.0228829,0.028969,0.0294888
35.7793,102.643,0.962857,0.651071,7.23571,0.105425,0.175563,0.179147,0.233317,0.191088,0.298589,0.0263827,0.0281974,0.0313031,0.0256709,0.0267904,0.0266604
32.2479,31.9286,0.768571,0.0260714,1.83571,0.0510937,0.0703629,0.158507,0.243638,0.294029,0.379421,0.0260678,0.0266298,0.0263745,0.0274233,0.0277603,0.027226
