S0,L,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
32.0517,92.1333,0.000841636,0.143536,0.284526,0.387616,0.421108,0.444931,0.0136708,0.0140223,0.0129239,0.0124199,0.0149506,0.0147137
34.1117,77.4667,-0.00295955,0.102637,0.205218,0.297288,0.340692,0.405782,0.0132758,0.0135936,0.0135498,0.0131924,0.0146884,0.0142156
35.485,45.2,0.00431871,0.0573839,0.106003,0.185518,0.24291,0.327503,0.0130903,0.013334,0.0142875,0.0144753,0.0145953,0.0137771
27.5883,98,-0.0039644,0.187225,0.397386,0.498167,0.5037,0.51464,0.0147366,0.0149049,0.0121201,0.0115777,0.015789,0.0164151
32.7383,33.4667,-0.00151936,0.0632904,0.111771,0.197187,0.264737,0.333227,0.0131667,0.0135034,0.0140807,0.0141551,0.0147184,0.0142083
27.245,39.3333,-0.00127375,0.102213,0.21268,0.308683,0.353872,0.395075,0.0133837,0.0135283,0.0132167,0.0128989,0.0147841,0.0148476
30.335,109.733,-0.00352829,0.17638,0.380053,0.482126,0.493445,0.531216,0.01454,0.0147127,0.0122799,0.0117952,0.0153132,0.0160756
35.1417,118.533,0.00787283,0.153842,0.31339,0.410316,0.441364,0.47767,0.0140695,0.014218,0.0129398,0.0125111,0.0147442,0.0146554
28.275,89.2,0.00353932,0.164507,0.35365,0.450435,0.47315,0.502432,0.0142361,0.0144076,0.0124551,0.0118013,0.01534,0.015886
25.8717,51.0667,-0.00337319,0.131677,0.274768,0.373157,0.402227,0.426403,0.0137457,0.0138808,0.012846,0.0122655,0.0150895,0.0152351
34.7983,36.4,0.000997397,0.0579147,0.0980655,0.173639,0.238299,0.310623,0.0130169,0.0133621,0.014378,0.0145231,0.0146345,0.0137995
33.7683,56.9333,-0.00218224,0.0782263,0.15519,0.245241,0.300659,0.357189,0.0130908,0.0134362,0.0138174,0.0137502,0.014606,0.0139373
29.305,80.4,-0.00199742,0.135135,0.302263,0.40409,0.427956,0.470287,0.0138641,0.0141402,0.0128204,0.0121428,0.0150422,0.0151942
28.6183,71.6,0.00391554,0.136281,0.288915,0.384605,0.418258,0.46489,0.013744,0.0139592,0.0127817,0.0121964,0.015019,0.0153194
27.9317,42.2667,-0.00221848,0.101077,0.208929,0.3105,0.354963,0.401742,0.0133365,0.0135145,0.0133099,0.0129719,0.0148067,0.014745
30.6783,83.3333,-0.000493998,0.132557,0.288684,0.381316,0.426812,0.449387,0.0137677,0.0138968,0.0128988,0.0123604,0.0148824,0.0149065
28.9617,65.7333,0.00995054,0.125194,0.257903,0.361675,0.396835,0.436836,0.0135648,0.0138298,0.0129054,0.0124879,0.0149582,0.0148972
33.0817,95.0667,-0.00158229,0.125491,0.272642,0.381232,0.413046,0.449488,0.0136376,0.0139428,0.0130332,0.0126042,0.014757,0.0145927
31.365,106.8,0.00146699,0.163684,0.346536,0.446073,0.475898,0.501039,0.0141868,0.014434,0.0126174,0.0119942,0.0151435,0.0153818
33.425,48.1333,0.00283845,0.0749635,0.138039,0.229994,0.285941,0.345696,0.0131068,0.0133825,0.0140161,0.0138795,0.0145958,0.0139179
26.215,68.6667,0.000200882,0.145056,0.320039,0.426828,0.451256,0.483856,0.0139609,0.014199,0.0125012,0.0119141,0.0153638,0.0159023
26.5583,59.8667,-0.000675481,0.13399,0.28707,0.391236,0.422709,0.446904,0.0137096,0.0140198,0.0127768,0.0121178,0.0151989,0.0153523
29.6483,115.6,-0.00699859,0.199439,0.414873,0.511798,0.536016,0.544047,0.015016,0.0149436,0.0121877,0.0115687,0.0158673,0.0165543
35.8283,54,0.00631756,0.0664423,0.121877,0.2082,0.25678,0.333267,0.0131107,0.0133782,0.014201,0.0142824,0.0145906,0.0137737
26.9017,62.8,-0.000109976,0.142201,0.292802,0.392093,0.428147,0.453452,0.0137978,0.0141006,0.0127362,0.0121158,0.015106,0.0153613
31.0217,103.867,0.00441802,0.163107,0.345446,0.444227,0.453146,0.492827,0.0141872,0.0143879,0.0125852,0.0119232,0.0151401,0.015431
31.7083,112.667,-0.00461295,0.181031,0.362622,0.459489,0.49249,0.512735,0.01431,0.0145516,0.012533,0.011919,0.015244,0.0155174
32.395,86.2667,0.00623723,0.126469,0.263374,0.356572,0.401658,0.439147,0.0135656,0.0137674,0.0131475,0.0126589,0.0148587,0.0145482
29.9917,74.5333,0.00425959,0.130268,0.27289,0.365574,0.397872,0.433671,0.0137669,0.0138467,0.012987,0.0124182,0.0147304,0.0148335
