S0,L,ms,fi,b,RE35Y-2.0,RE35Y-1.8,RE35Y-1.6,RE35Y-1.4,RE35Y-1.2,RE35Y-1.0,RE35Y-0.8,RE35Y-0.6,RE35Y-0.4,RE35Y-0.2,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y1.2,RE35Y1.4,RE35Y1.6,RE35Y1.8,RE35Y2.0,RE35Y-2.0_Error,RE35Y-1.8_Error,RE35Y-1.6_Error,RE35Y-1.4_Error,RE35Y-1.2_Error,RE35Y-1.0_Error,RE35Y-0.8_Error,RE35Y-0.6_Error,RE35Y-0.4_Error,RE35Y-0.2_Error,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error,RE35Y1.2_Error,RE35Y1.4_Error,RE35Y1.6_Error,RE35Y1.8_Error,RE35Y2.0_Error
32.0517,92.1333,0.7,0,7,0.0692594,0.0809352,0.0336182,-0.0510563,-0.134814,-0.154481,-0.265338,-0.243074,-0.173396,-0.119145,0.00108099,0.117437,0.238408,0.345453,0.425033,0.475623,0.520921,0.595069,0.659451,0.694898,0.723631,0.0306737,0.022869,0.01897,0.0168738,0.0153607,0.0157986,0.0141569,0.0130519,0.0146615,0.0142162,0.0138784,0.0140502,0.0147442,0.0127654,0.013585,0.0162326,0.0161046,0.0176162,0.020183,0.0242082,0.0315148
34.455,100.933,0.7,0,7,0.073276,0.0690633,0.00129657,-0.063085,-0.150565,-0.24019,-0.284239,-0.211133,-0.148335,-0.119102,0.00122985,0.126366,0.223424,0.324311,0.393878,0.447052,0.510396,0.57594,0.621557,0.678131,0.705089,0.028915,0.0217564,0.0182067,0.0162575,0.0149947,0.0154297,0.0143101,0.013333,0.014853,0.0140074,0.0138071,0.0140158,0.0148537,0.0130388,0.0137526,0.0158375,0.0157219,0.016973,0.0191019,0.0229135,0.0303597
34.1117,77.4667,0.7,0,7,0.0612985,0.020996,-0.0325461,-0.100923,-0.193817,-0.396403,-0.291927,-0.121773,-0.0565974,-0.0986949,0.000789294,0.107288,0.183644,0.253037,0.315563,0.366307,0.433834,0.487094,0.544887,0.588517,0.642251,0.025992,0.0202842,0.0172836,0.0154644,0.0147118,0.0153507,0.0146973,0.0140619,0.014865,0.0138361,0.0135915,0.0138285,0.0149127,0.0136583,0.0139237,0.0152254,0.0150392,0.0160119,0.0178233,0.0210392,0.0270685
27.5883,98,0.7,0,7,0.113444,0.155268,0.121889,0.0446534,0.00657537,0.307804,-0.156009,-0.380155,-0.3768,-0.151519,0.000877762,0.141719,0.325469,0.490211,0.592565,0.632759,0.663584,0.738733,0.813238,0.842711,0.867828,0.0398832,0.0297893,0.0229056,0.0196202,0.0172396,0.0180895,0.0136729,0.0119505,0.0145772,0.0148548,0.0145588,0.0148327,0.0146044,0.0117407,0.0133523,0.0188448,0.0189145,0.0207853,0.025027,0.0315582,0.0426834
32.7383,33.4667,0.7,0,7,-0.0326899,-0.0665879,-0.107654,-0.179457,-0.270067,-0.559237,-0.276028,0.0102839,0.0247569,-0.0786498,0.00475582,0.0889658,0.129399,0.166546,0.217183,0.274526,0.353122,0.398245,0.43476,0.498647,0.540847,0.0229081,0.0184134,0.016178,0.0151026,0.0145651,0.0156483,0.0153685,0.0152806,0.0148429,0.0136916,0.0134707,0.0136559,0.0149934,0.0148116,0.014674,0.0148304,0.014635,0.0152891,0.0164101,0.0190465,0.023129
27.245,39.3333,0.7,0,7,0.0400129,0.0265598,-0.0197178,-0.0924048,-0.172017,-0.305574,-0.242623,-0.144845,-0.0946683,-0.102394,0.00643211,0.104627,0.18625,0.271003,0.335224,0.383729,0.444916,0.494848,0.555087,0.610622,0.657024,0.0276143,0.0217355,0.0181614,0.0164556,0.0154245,0.0160144,0.0144713,0.0137153,0.0146034,0.0138632,0.0137676,0.0138584,0.0147998,0.0133397,0.0137623,0.0159393,0.0159357,0.0169178,0.0187239,0.0224051,0.0285906
30.335,109.733,0.7,0,7,0.120867,0.129636,0.0972121,0.0215342,-0.0357883,0.191267,-0.193292,-0.358834,-0.35343,-0.150044,0.00566931,0.138586,0.29966,0.468896,0.560186,0.607565,0.637836,0.722438,0.783363,0.836761,0.811117,0.0374886,0.0279688,0.0222468,0.0187798,0.0166352,0.0171398,0.0137068,0.0122148,0.0147789,0.014778,0.0144185,0.0146362,0.0147189,0.011975,0.0134105,0.0180071,0.0178374,0.0199972,0.0236594,0.0300142,0.0384618
35.1417,118.533,0.7,0,7,0.0697754,0.0857732,0.0473874,-0.0386859,-0.124472,-0.126465,-0.271219,-0.266763,-0.211717,-0.128282,-0.00232646,0.130562,0.25604,0.37284,0.446166,0.504092,0.552981,0.627246,0.659804,0.733492,0.760179,0.0314195,0.0234965,0.0192174,0.0165953,0.0153032,0.0155982,0.0140807,0.0130485,0.0148235,0.0141656,0.0140298,0.0143393,0.0149483,0.0127834,0.0135253,0.0161945,0.0160526,0.0175753,0.0198759,0.0251246,0.0328442
28.275,89.2,0.7,0,7,0.102453,0.11931,0.083517,0.00679002,-0.0570586,0.111231,-0.198911,-0.323984,-0.30504,-0.130868,-0.00446061,0.127438,0.288471,0.436584,0.525857,0.565887,0.606785,0.672488,0.730414,0.793413,0.784124,0.0362115,0.0270822,0.0215672,0.0186013,0.016543,0.0171941,0.0138053,0.0123339,0.0146441,0.0144299,0.0141741,0.014408,0.0145621,0.0120808,0.0133888,0.0176718,0.0176905,0.0194673,0.02301,0.0287964,0.0368563
25.8717,51.0667,0.7,0,7,0.0893608,0.0828735,0.0476254,-0.0558723,-0.112175,-0.126758,-0.231246,-0.22258,-0.173509,-0.114083,-0.000310531,0.115551,0.226074,0.34036,0.418363,0.463785,0.502125,0.564234,0.647886,0.700088,0.742399,0.0310375,0.0240972,0.019606,0.0174534,0.0161497,0.01657,0.0141483,0.0129068,0.0145099,0.0140817,0.0138191,0.0141289,0.0146835,0.0126683,0.0135235,0.0167321,0.016732,0.0180955,0.0210534,0.0251137,0.0330647
34.7983,36.4,0.7,0,7,-0.0580037,-0.0903239,-0.132526,-0.197218,-0.28769,-0.610488,-0.276648,0.0464448,0.053549,-0.0748847,0.00452567,0.083915,0.123043,0.145173,0.191122,0.254721,0.338065,0.374996,0.41502,0.466798,0.51733,0.0223001,0.0182488,0.0159887,0.0148729,0.0141391,0.0155992,0.0156695,0.0157096,0.0150277,0.01369,0.0134604,0.0136076,0.0149986,0.0152726,0.0148136,0.014702,0.014361,0.0149547,0.016009,0.0182249,0.0220057
33.7683,56.9333,0.7,0,7,0.0205442,-0.0354311,-0.070709,-0.138779,-0.24129,-0.498051,-0.287146,-0.0478462,-0.000772379,-0.083049,0.00869706,0.0982977,0.151133,0.198788,0.259633,0.308641,0.391806,0.436591,0.490725,0.535498,0.577739,0.0243384,0.0192958,0.0165208,0.0153247,0.0144318,0.0154075,0.0150248,0.0147485,0.0148598,0.0136209,0.0135853,0.0136966,0.014948,0.0142763,0.0142598,0.0148817,0.0148059,0.015577,0.0169189,0.0196417,0.0247895
