S0,L,ms,fi,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
33.1307,119.357,0.694286,-0.2775,0.0742165,0.233836,0.402915,0.487316,0.543181,0.552211,0.0106032,0.0105832,0.00889289,0.00812832,0.0105353,0.0105972
35.0436,115.5,0.671429,0.329643,0.0732435,0.178551,0.300598,0.379453,0.433376,0.495423,0.0276108,0.0281738,0.0262777,0.0242739,0.0298038,0.0299558
32.9836,40.9286,0.911429,0.151071,0.0324856,0.0473238,0.150053,0.213139,0.285911,0.331816,0.00913837,0.00890695,0.00916108,0.00968786,0.00919142,0.00914001
33.425,65.3571,0.825714,-0.581071,0.0557171,0.121734,0.200335,0.266758,0.356339,0.450172,0.00959625,0.00909283,0.00877318,0.00972566,0.00984658,0.010049
34.6021,83.3571,0.625714,-0.0632143,0.078117,0.211199,0.267626,0.401262,0.427411,0.478242,0.0278683,0.0289783,0.027892,0.025404,0.0291979,0.0287295
28.8636,52.5,0.985714,-0.491786,0.0342905,0.138006,0.228359,0.27727,0.359966,0.457784,0.00731296,0.0079452,0.00900736,0.00994666,0.00989676,0.0104946
32.2479,31.9286,0.768571,0.0260714,0.0510937,0.0703629,0.158507,0.243638,0.294029,0.379421,0.0260678,0.0266298,0.0263745,0.0274233,0.0277603,0.027226
27.9807,98.7857,0.631429,-0.366786,0.0382994,0.266197,0.490791,0.594282,0.62807,0.668484,0.0328449,0.0327471,0.0265172,0.0217574,0.0302857,0.033885
35.485,82.0714,0.831429,0.508214,0.0441479,0.0648844,0.169974,0.228129,0.30792,0.356106,0.00937227,0.00928304,0.00918863,0.00980934,0.00962397,0.00947881
31.6593,105.214,0.688571,-0.00964286,0.0291053,0.217897,0.375029,0.479272,0.48494,0.496117,0.0292179,0.0291308,0.0254799,0.0229981,0.0294736,0.0300181
27.245,109.071,0.968571,0.3475,0.0480907,0.169567,0.285467,0.32961,0.350862,0.439288,0.0217557,0.0220407,0.024171,0.0289514,0.0284956,0.0310004
32.5421,69.2143,0.814286,-0.348929,0.0414365,0.13031,0.219379,0.284393,0.356591,0.430156,0.0095663,0.00934374,0.00846759,0.009252,0.00987117,0.00982426
28.7164,79.5,0.888571,-0.545357,0.0368485,0.241283,0.304853,0.414928,0.42129,0.554355,0.0237308,0.0226948,0.0238361,0.0307949,0.0309792,0.0327366
31.0707,70.5,0.722857,0.0796429,0.0471287,0.17121,0.266971,0.3497,0.363401,0.470451,0.0264298,0.0269751,0.0249567,0.0254925,0.0291169,0.0292969
27.5393,37.0714,0.654286,-0.223929,0.0782474,0.187117,0.271541,0.369514,0.411872,0.435949,0.0276858,0.0287094,0.0275419,0.0247857,0.0294002,0.029759
31.5121,64.0714,0.665714,0.526071,0.0678241,0.152436,0.209144,0.244622,0.312253,0.379808,0.0276684,0.0278874,0.0275024,0.0273075,0.029434,0.0292447
26.0679,34.5,0.951429,-0.188214,0.0482373,0.128614,0.217342,0.274596,0.321918,0.376918,0.00858234,0.00811753,0.00811854,0.00965517,0.00982817,0.0101764
27.6864,44.7857,0.797143,-0.420357,0.101454,0.169383,0.233565,0.325116,0.386861,0.417778,0.0270411,0.0272257,0.0233931,0.0251805,0.0306702,0.0288269
