S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
31.0707,46.4571,0.745714,-0.152499,5.65,0.0642721,0.209226,0.387937,0.381371,0.422275,0.503125,0.0268582,0.026918,0.0280782,0.027435,0.0258426,0.0290853
32.5421,42.6857,0.842857,-0.0810714,3.05,0.0528421,0.142263,0.191424,0.275047,0.329739,0.418261,0.0249483,0.0259714,0.0267548,0.0260358,0.0276019,0.0267063
26.5093,92.9714,0.94,0.00821471,8.75,0.111654,0.364266,0.488309,0.611782,0.683148,0.663906,0.0294772,0.0302589,0.0306554,0.0314771,0.0175056,0.0331394
28.5693,43.9429,0.808571,0.651071,5.15,0.0606615,0.171042,0.259101,0.249023,0.28068,0.373704,0.0269743,0.027402,0.0285101,0.0280162,0.0276791,0.0282603
29.0107,51.4857,0.951429,0.0439282,6.15,0.0861687,0.203279,0.313278,0.341901,0.37147,0.475559,0.0258581,0.0260776,0.028932,0.0237114,0.0258586,0.0286185
31.365,71.6,0.997143,0.258214,8.55,0.104702,0.318226,0.475559,0.669608,0.536401,0.360888,0.0273601,0.0272029,0.0272089,0.0354027,0.0202817,0.0258901
33.2779,60.2857,0.74,0.526071,9.55,0.151824,0.430745,0.57148,0.588621,0.568103,0.552942,0.0271182,0.0265375,0.0270746,0.0270439,0.0297977,0.0248709
33.425,108.057,0.905714,-0.5275,7.25,0.0690091,0.29694,0.413668,0.512795,0.554289,0.653153,0.0261553,0.0264531,0.0273434,0.0245062,0.0263521,0.0330103
26.0679,99.2571,0.665714,0.29393,6.85,0.116372,0.279442,0.465552,0.548736,0.641767,0.663635,0.0309059,0.0302163,0.0306415,0.0293364,0.0203085,0.0343617
29.8936,84.1714,0.871429,-0.0274994,4.25,0.066438,0.22931,0.341754,0.396858,0.443643,0.466858,0.0264282,0.0259848,0.0255368,0.0230938,0.029366,0.0300785
31.2179,62.8,0.911429,0.151069,5.25,0.0786947,0.187726,0.239447,0.320864,0.320922,0.442437,0.0258872,0.0264564,0.0284072,0.0244926,0.0274385,0.0280213
