S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
27.245,36.4,0.728571,-0.116787,3.15,0.0727243,-0.0764061,-0.220913,-0.336229,-0.432133,-0.43578,0.0254443,0.0255082,0.0276327,0.0266079,0.0284915,0.0290442
35.485,45.2,0.962857,0.133213,7.15,0.129593,-0.0811083,-0.159787,-0.189379,-0.30724,-0.41097,0.0248312,0.0251234,0.0256482,0.0336938,0.0254294,0.0243026
33.1307,115.6,0.82,0.401068,8.25,0.123039,-0.143488,-0.362133,-0.422493,-0.539526,-0.584839,0.0266507,0.0274192,0.02759,0.0332588,0.0221729,0.0279521
27.5393,106.8,0.991429,0.186784,3.25,0.0784576,-0.104124,-0.266469,-0.349211,-0.349043,-0.366595,0.0253223,0.0252507,0.0244785,0.0266637,0.0289202,0.0309799
33.7193,54,0.751429,0.347504,8.35,0.140965,-0.139182,-0.310697,-0.356709,-0.414994,-0.463078,0.0255705,0.0262514,0.0270612,0.0289321,0.028003,0.0278849
33.425,108.057,0.905714,-0.5275,7.25,0.0787203,-0.123105,-0.227605,-0.391199,-0.603954,-0.799074,0.0253375,0.0257504,0.0271327,0.0259168,0.027376,0.0344003
26.0679,99.2571,0.665714,0.29393,6.85,0.122515,-0.146252,-0.338465,-0.475326,-0.619011,-0.728966,0.0299343,0.0296215,0.0301348,0.0310404,0.0219861,0.0331653
31.2179,62.8,0.911429,0.151069,5.25,0.0738422,-0.0737502,-0.133383,-0.243494,-0.337253,-0.338783,0.0250338,0.0256276,0.0290569,0.0262426,0.0274743,0.0277965
29.8936,84.1714,0.871429,-0.0274994,4.25,0.0415616,-0.0880633,-0.201041,-0.352874,-0.425611,-0.442514,0.0255933,0.0251392,0.0268628,0.0247635,0.0285464,0.0302486
29.0107,51.4857,0.951429,0.0439282,6.15,0.0843214,-0.060821,-0.127759,-0.277623,-0.377568,-0.416467,0.0250216,0.0252301,0.0288908,0.0256995,0.0259487,0.0284544
31.365,71.6,0.997143,0.258214,8.55,0.158811,-0.103377,-0.313225,-0.331856,-0.499488,-0.5252,0.026355,0.0266812,0.0270641,0.0363568,0.0215664,0.0259108
33.2779,60.2857,0.74,0.526071,9.55,0.147332,-0.156534,-0.417609,-0.510829,-0.506413,-0.542515,0.0262664,0.0263839,0.0273959,0.0274968,0.0321562,0.0256258
31.0707,46.4571,0.745714,-0.152499,5.65,0.0863676,-0.118092,-0.174527,-0.301942,-0.402186,-0.466781,0.0259468,0.0262564,0.0272929,0.0297257,0.0267317,0.0284662
26.5093,92.9714,0.94,0.00821471,8.75,0.0911545,-0.144382,-0.324215,-0.412611,-0.637955,-0.795482,0.0284432,0.029581,0.0303617,0.0328327,0.018745,0.0321617
28.5693,43.9429,0.808571,0.651071,5.15,0.0870763,-0.0257289,-0.118001,-0.176513,-0.278269,-0.343409,0.0260967,0.0267097,0.028314,0.0299029,0.0288919,0.0279421
32.5421,42.6857,0.842857,-0.0810714,3.05,0.0690299,-0.0412745,-0.116698,-0.225135,-0.353095,-0.322845,0.0240192,0.0253288,0.0280918,0.0276239,0.0273976,0.026941
34.6021,55.2571,0.608571,-0.366788,6.05,0.0739054,-0.125008,-0.258271,-0.324471,-0.452757,-0.521872,0.0281404,0.0280249,0.0285048,0.0312578,0.0292563,0.0295083
31.5121,79.1429,0.968571,-0.509643,4.15,0.106354,-0.0503966,-0.192401,-0.37963,-0.445312,-0.56098,0.0237546,0.0245915,0.0247746,0.0277462,0.0293907,0.0309907
32.2479,50.2286,0.785714,0.2225,9.35,0.131257,-0.156238,-0.387575,-0.451135,-0.542176,-0.575291,0.0260269,0.0267107,0.0268572,0.0268762,0.0299242,0.0253764
30.335,91.7143,0.825714,0.418931,3.85,0.0755055,-0.0319072,-0.208473,-0.28805,-0.345845,-0.399222,0.0259992,0.0259963,0.0278398,0.0262568,0.0284903,0.0282528
26.6564,116.857,0.974286,0.633214,7.05,0.131983,-0.0639389,-0.207063,-0.350848,-0.482154,-0.509886,0.0274474,0.0272774,0.0286466,0.0291666,0.023279,0.0295397
29.1579,40.1714,0.86,0.0617856,5.95,0.0796143,-0.0795086,-0.215197,-0.260643,-0.349453,-0.436812,0.0250619,0.0255377,0.02824,0.0280529,0.0264378,0.0283985
34.3079,61.5429,0.631429,0.0796423,9.45,0.148179,-0.169581,-0.40773,-0.522887,-0.546378,-0.6176,0.027258,0.0271745,0.0276173,0.0285841,0.032549,0.0266851
28.1279,81.6571,0.7,-0.331072,5.75,0.0674581,-0.151673,-0.295808,-0.479274,-0.602525,-0.75824,0.0284355,0.0290887,0.0293937,0.0270139,0.0243588,0.0356829
34.0136,110.571,0.677143,0.365357,6.25,0.0916792,-0.156354,-0.283155,-0.383614,-0.491004,-0.539937,0.0272385,0.0276755,0.0283538,0.0307592,0.0250677,0.029873
25.9207,109.314,0.722857,-0.420356,7.75,0.10873,-0.229326,-0.375355,-0.621741,-0.793873,-1.37773,0.0334593,0.0346766,0.0320228,0.0271976,0.02088,0.0577015
30.4821,100.514,0.831429,0.329645,7.35,0.134969,-0.142097,-0.256593,-0.350379,-0.493698,-0.59351,0.0267733,0.0275994,0.027909,0.0331817,0.0217506,0.0302711
30.6293,105.543,0.688571,-0.313213,8.85,0.143628,-0.233445,-0.451216,-0.597576,-0.700745,-0.840831,0.030293,0.0316707,0.0297445,0.0310674,0.0236039,0.0275427
28.4221,69.0857,0.648571,0.4725,9.95,0.111303,-0.216925,-0.465975,-0.622848,-0.620212,-0.673217,0.0283824,0.0298113,0.0280411,0.0293901,0.0329283,0.0230638
26.215,98,0.848571,-0.491786,5.45,0.0248921,-0.0822988,-0.392859,-0.608272,-0.860694,-0.741554,0.0270462,0.0254731,0.0244259,0.0233852,0.0391772,0.0384663
35.9264,76.6286,0.734286,-0.473928,5.05,0.0828538,-0.105759,-0.195251,-0.324001,-0.434891,-0.487251,0.0257337,0.0256051,0.0283454,0.0292341,0.0287825,0.0281379
32.395,89.2,0.802857,-0.206071,9.15,0.157115,-0.21367,-0.407862,-0.492569,-0.64017,-0.700825,0.0275964,0.0280512,0.0285138,0.0285003,0.0246051,0.0266064
34.455,113.086,0.694286,0.0975006,3.35,0.110144,-0.160858,-0.272188,-0.442924,-0.492357,-0.479025,0.0274132,0.0276233,0.0279422,0.0260237,0.0279252,0.0290932
