S0,L,ms,fi,b,RE50Y-2.0,RE50Y-1.8,RE50Y-1.6,RE50Y-1.4,RE50Y-1.2,RE50Y-1.0,RE50Y-0.8,RE50Y-0.6,RE50Y-0.4,RE50Y-0.2,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y1.2,RE50Y1.4,RE50Y1.6,RE50Y1.8,RE50Y2.0,RE50Y-2.0_Error,RE50Y-1.8_Error,RE50Y-1.6_Error,RE50Y-1.4_Error,RE50Y-1.2_Error,RE50Y-1.0_Error,RE50Y-0.8_Error,RE50Y-0.6_Error,RE50Y-0.4_Error,RE50Y-0.2_Error,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error,RE50Y1.2_Error,RE50Y1.4_Error,RE50Y1.6_Error,RE50Y1.8_Error,RE50Y2.0_Error
28.1279,81.6571,0.7,-0.331072,5.75,0.159941,0.201304,0.295424,0.196883,0.0720388,0.454948,-0.305902,-0.66806,-0.452857,-0.2293,0.0169546,0.24341,0.365895,0.529,0.609891,0.671922,0.689844,0.786728,0.870276,0.991794,0.758155,0.163153,0.0986834,0.0723464,0.0550317,0.0445258,0.0484583,0.0360199,0.0414271,0.0406883,0.042502,0.0409193,0.0417298,0.0418068,0.0365304,0.0337706,0.0504535,0.0467813,0.0551392,0.0726918,0.108137,0.153472
29.8936,84.1714,0.871429,-0.0274994,4.25,-0.186895,-0.00559926,-0.00968141,0.0204914,-0.0243593,-0.0727065,-0.203245,-0.289166,-0.202932,-0.148023,0.0124382,0.158687,0.271398,0.374866,0.434627,0.454686,0.505972,0.514579,0.560534,0.583032,0.606382,0.135433,0.0880117,0.0659127,0.0505824,0.0440252,0.0397827,0.0430094,0.0348644,0.0372126,0.0372509,0.0367895,0.0361551,0.037064,0.0338608,0.0409544,0.0426578,0.0460959,0.0524047,0.062125,0.0826653,0.138636
34.7493,111.829,0.637143,0.383215,6.55,7.30332e-05,0.0215701,0.00806223,-0.0905635,-0.249722,-0.649948,-0.366488,-0.175072,-0.379742,-0.236304,-0.0110125,0.225753,0.375045,0.442893,0.521654,0.525904,0.587795,0.668153,0.646119,0.688723,0.769634,0.115484,0.0709878,0.0555629,0.0460472,0.0407748,0.0485535,0.0374148,0.0405689,0.0398727,0.0398597,0.03989,0.0399233,0.040832,0.0432302,0.0352509,0.0422894,0.0424458,0.0483493,0.0541641,0.0723754,0.110951
35.1907,64.0571,0.877143,0.615356,3.45,-0.232084,-0.225501,-0.242487,-0.240549,-0.284075,-0.407357,-0.46084,-0.165398,0.0307647,-0.0339788,-0.019301,0.0620661,0.0851853,0.158147,0.244578,0.303109,0.307348,0.324237,0.303677,0.281378,0.282953,0.0850888,0.0605397,0.0468945,0.0400504,0.0382668,0.0384408,0.0404096,0.040381,0.0390044,0.0377908,0.037111,0.0378457,0.0396736,0.0406454,0.0387767,0.0387422,0.038641,0.0416506,0.0465223,0.0573654,0.0776504
29.0107,51.4857,0.951429,0.0439282,6.15,-0.13667,0.0178371,-0.0510257,-0.0554245,-0.158816,-0.383442,-0.559978,-0.142965,-0.0577729,-0.145482,0.000923656,0.13205,0.220518,0.309762,0.374519,0.446013,0.498807,0.534785,0.553279,0.622172,0.612799,0.106564,0.0711409,0.0549862,0.0476645,0.0397466,0.0369982,0.0429045,0.0372612,0.0396935,0.0363568,0.0359823,0.036285,0.0408869,0.0349671,0.0366334,0.0403568,0.0418025,0.0474755,0.0556397,0.0751212,0.101741
34.0136,110.571,0.677143,0.365357,6.25,-0.10888,0.0167767,0.0372668,-0.0725297,-0.209699,-0.56891,-0.371185,-0.159254,-0.359556,-0.229926,0.0137951,0.217379,0.336525,0.432068,0.496304,0.517356,0.571749,0.635322,0.644917,0.714834,0.61471,0.116028,0.076437,0.0553003,0.0465405,0.0401297,0.0464109,0.037081,0.0418713,0.0390794,0.0393128,0.0391981,0.039471,0.0403985,0.0422546,0.03432,0.0426977,0.0432719,0.0492859,0.0561581,0.0731532,0.103547
29.305,41.4286,0.768571,-0.259643,9.65,-0.0872799,-0.0858871,-0.185113,-0.292131,-0.433206,-1.18249,-0.4535,-0.528782,-0.555481,-0.286141,0.0167638,0.316859,0.498683,0.58935,0.628802,0.682138,0.73246,0.795217,0.847564,0.898185,0.912739,0.0903879,0.0630312,0.0491759,0.0425307,0.0366166,0.0575845,0.0541004,0.0376241,0.0404065,0.038271,0.0397313,0.0387849,0.0390761,0.0388169,0.03754,0.0353074,0.0417788,0.0449129,0.0513337,0.0665294,0.0975911
31.2179,62.8,0.911429,0.151069,5.25,-0.16159,-0.0790722,-0.0949431,-0.101811,-0.154207,-0.347249,-0.571931,-0.160368,0.0169951,-0.120026,0.00242626,0.130738,0.186415,0.282179,0.329087,0.39061,0.451213,0.467864,0.46457,0.532609,0.502035,0.101024,0.0679193,0.05387,0.0438154,0.0395817,0.0373352,0.0433043,0.0371612,0.0397757,0.0364695,0.0360116,0.0368336,0.0406358,0.0358965,0.0388293,0.0394695,0.0412314,0.0452048,0.0532314,0.0693855,0.0921362
30.7764,86.6857,0.774286,0.276071,6.65,-0.0621504,-0.00955391,0.0119428,-0.094082,-0.218081,-0.609091,-0.411652,-0.0585521,-0.32459,-0.176681,-0.0210886,0.168993,0.330343,0.396097,0.479328,0.498662,0.544064,0.597251,0.672908,0.685831,0.554089,0.106104,0.0704847,0.0529893,0.0455528,0.0411745,0.0440307,0.0358254,0.0448721,0.0385683,0.0377009,0.0375749,0.0380441,0.0388916,0.0428777,0.0330837,0.042135,0.043459,0.0463518,0.0562804,0.0730153,0.0988517
33.8664,57.7714,0.945714,-0.0453574,4.45,-0.173064,-0.13858,-0.0915771,-0.0918268,-0.138527,-0.2496,-0.536149,-0.219058,0.0305973,-0.0613339,-0.00528334,0.117604,0.127676,0.221811,0.327291,0.366107,0.407297,0.448185,0.491544,0.546556,0.512645,0.10411,0.0702927,0.0519642,0.0458794,0.0395374,0.0372836,0.0405831,0.0380246,0.0395156,0.0358162,0.0347099,0.036102,0.0383435,0.0365604,0.0381557,0.0386773,0.0405391,0.0447361,0.055406,0.0746611,0.107127
