t0,t1,t2,t31,x0,x1,x2,x31,sigma1,R,Lambda,R_Error,Lambda_Error
-1771.37,322.432,-80.6445,12219,0.266859,-0.461021,1.18713,0.23156,0.333333,9.383608,60.738384,0.05,5
-1773.9,310.45,-78.3014,12254.7,0.259339,-0.464192,1.14268,0.225045,0.333333,9.642751,75.650154,0.05,5
-1773.71,309.046,-75.2529,12253.1,0.263418,-0.46164,1.22561,0.229978,0.333333,9.56983,71.130647,0.05,5
-1773.86,307.766,-73.428,12254.3,0.253076,-0.471466,1.27406,0.215541,0.333333,9.72639,81.070556,0.05,5
-1778.8934,312.727,-102.883,12318.37,0.44451,-0.488716,0.58459,0.569304,0.333333,7.302066,45.016964,0.05,5
-2043.3174,382.127,-173.879,12511.7,0.735859,-0.799153,-0.358983,1.234779,0.25,8.816998,47.765728,0.05,5
-2044.2484,385.973,-131.525,12518.8,0.729193,-0.932335,-0.050127,1.23628,0.25,9.022011,56.909554,0.05,5
-2035.525,398.8208,-196.0032,12433.36,0.773828,-0.822006,-0.38964,1.309331,0.25,8.649482,42.160697,0.05,5
-2043.918,411.5987,-194.1886,12497.169,0.514921,-0.953799,-0.332249,0.899435,0.25,10.896475,210.66153,0.05,5
-1848.2463,476.7814,-530.4592,14017.9358,0.826263,-0.553989257,-0.990625,1.813282465,0.3333333,8.294567,16.847162,0.05,5
-1849.081803,477.2767492,-412.8245485,14035.1919,0.824349459,-0.13746871,-0.9155803,1.780474422,0.3333333,5.686539,6.21016,0.05,5
-2526.511,430.9418,-398.3775,14235.5193,0.7583,-0.3087,-0.9495,1.1445,0.1676,11.23481,243.608563,0.05,5
-2553.0843,411.6963,-419.8712,14603.6069,0.6483,-0.3472,-0.9268,0.9475,0.1673,11.574945,292.595501,0.05,5
-2484.97,266.735,-337.135,14588.2,0.06277,0.65845,-0.95382,-0.03413,0.16667,10.937342,187.473988,0.05,5
-1813.03,274.828,-274.828,13050.1,0.365395,-0.5,-0.5,0.449882,0.3333333,8.922108,41.362105,0.05,5
-1830.67,260.301,-293.742,13442.1,0.356875,-0.5,-0.5,0.4097599,0.3333333,8.350387,26.051655,0.05,5
-1827.96,258.483,-291.924,13419.5,0.576591,-0.5,-0.5,0.783956,0.333333,5.071486,7.518558,0.05,5
-1828.23,259.4,-292.84,13421.7,0.576761,-0.5,-0.5,0.78529,0.333333,5.07887,7.479208,0.05,5
-1218.828,370.265,-106.883,10834.819,0.119,0.0157,0.0335,-0.199,0.7179,12.681538,630.365071,0.05,5
-1089,0,0,17480.4,0.5,0,0,-0.5,1,16.594009,2609.313868,0.05,5
-1047,373,-136,12531,0.61,0,0,0,1,14.111983,892.711233,0.05,5
-2462.6784,436.0993,-151.9441,14154.4809,0.13,0,0,0,0.17,9.802198,76.51207,0.05,5
-2429.1323,370.9804,-96.6917,13773.634,0.1,0,0,0,0.17,11.058052,204.861622,0.05,5
-2403.4794,319.6746,-55.2524,13473.6924,0.08,0,0,0,0.17,11.610105,300.99926,0.05,5
-2160,513,121,11600,0.418,-0.36,-2.29,0.586,0.2,10.081145,114.865919,0.05,5
-1798,335.97,-84.81,11083.9,-0.4036,0,0,-0.8705,0.3,13.282437,930.40053,0.05,5
-1810.02075,275.54434,-256.94205,12858.77051,0.16703,-0.5,-0.5,0.08449,0.333333,11.860107,347.057385,0.05,5
-1809.863159,268.8074646,-250.4112091,12869.74316,0.4175017,-1.0191988,-0.5,0.6306372,0.3333333,10.190729,120.258066,0.05,5
-1810.980591,276.8115234,-256.2614441,12859.27148,0.1831747,-1.0191988,-0.5,0.2170275,0.3333333,12.265045,454.031898,0.05,5
-1812.993897,285.4754333,-262.1108398,12854.90234,-0.0347865,-1.0191988,-0.5,-0.1786289,0.3333333,13.544345,927.0233,0.05,5
-1807.08679,277.89841,-254.42711,12797.7002,0.181,-0.69974,-0.5,0.15224,0.3333333,11.987414,379.375384,0.05,5
-1807.148071,271.2805786,-248.3392792,12812.49902,0.4174702,-0.9936718,-0.5,0.6307958,0.3333333,10.196307,120.710367,0.05,5
-1807.991455,278.7789917,-253.8823242,12800.33105,0.1868941,-0.9936718,-0.5,0.2224309,0.3333333,12.236274,446.291808,0.05,5
-1810.55542,288.1222534,-259.9057617,12799.22754,-0.0348021,-0.9936718,-0.5,-0.1810564,0.3333333,13.54583,927.210367,0.05,5
-1811.51819,270.64868,-85.66787,12906.86719,0.14178,-1,1,0.05379,0.333333,11.931969,367.441666,0.05,5
-1811.392456,264.3297424,-83.3801193,12914.11914,0.3996581,-1.5212641,1,0.6099949,0.3333333,10.248405,126.816906,0.05,5
-1812.471924,272.2641602,-85.4006424,12904.61328,0.1589374,-1.5212641,1,0.1871373,0.3333333,12.313682,472.992617,0.05,5
-1814.175659,280.8729248,-87.3087616,12896.19141,-0.0621982,-1.5212641,1,-0.2118511,0.3333333,13.572821,954.226906,0.05,5
-2542.91626,444.04242,-99.12335,14309.62109,0.1893,0,0,0.1217,0.1666666,11.601412,283.295677,0.05,5
-2578.83252,420.0640869,-101.3566666,14730.43359,0.4722641,-0.08089,0,0.5680438,0.1666666,9.632756,73.730731,0.05,5
-2544.635254,443.4455566,-99.7321625,14329.97266,0.1832163,-0.08089,0,0.1272691,0.1666666,11.861743,335.528568,0.05,5
-2548.46167,454.3227844,-103.1147079,14332.05371,-0.071647,-0.08089,0,-0.2808992,0.1666666,13.133784,692.631861,0.05,5
-1901.396,306.89804,191.46901,12753.33105,0.04489,-0.59,-2.17,-0.26667,0.3,11.280092,229.788666,0.05,5
-1902.050659,295.7451782,186.7857361,12802.2002,0.3880056,-1.7746626,-2.1692149,0.5714075,0.3,10.234262,125.871607,0.05,5
-1902.956543,305.5899658,191.5276184,12779.1416,0.1311778,-1.7746626,-2.1692149,0.1260647,0.3,12.312057,473.750468,0.05,5
-1904.9104,313.9059143,196.150528,12775.74121,-0.0985519,-1.7746626,-2.1692149,-0.2830223,0.3,13.529546,936.295066,0.05,5
-2504.80029,461.63812,-473.07721,13885.88086,0.39674,-0.344,-1,0.64966,0.1666667,12.963139,676.463072,0.05,5
-2604.797119,403.7005615,-57.0751991,15053.41797,0.4733555,-0.3438,1.0930953,0.5925312,0.1666667,9.975176,98.676943,0.05,5
-2471.1,439.85,-262.98,13732.8,0.6052,0.4933,-0.8404,0.7282,0.1694,7.934248,30.649902,0.05,5
-2471.1,439.85,-267.78,13732.8,1.029,0.0546,-0.8478,1.4564,0.1694,7.887879,22.083326,0.05,5
-2471.1,439.85,-272.66,13732.8,1.4174,-0.6082,-0.8549,2.1846,0.1694,8.9841,56.304773,0.05,5
-2471.1,439.85,-277.5,13732.8,1.8226,-1.164,-0.8618,2.9127,0.1694,9.144965,28.433615,0.05,5
-2471.1,439.85,-299.14,13732.8,-0.2665,1.2968,-0.8899,-0.7282,0.1694,9.049464,39.792591,0.05,5
-2486.43,485.25,-440.46,13783,0.7947,-0.4983,-0.9323,1.2893,0.1666667,11.609043,321.39409,0.05,5
-2487.64,488.29,-568.86,13791,0.7955,-0.3056,-1,1.2902,0.1666667,11.605843,320.800109,0.05,5
-2506.77,430.98,-304.95,13826.41,1.0398,-0.6745,-1,1.6833,0.1666667,11.339804,270.542062,0.05,5
-2484.23,482.19,-289.95,13763,0.7893,-0.7279,-0.7754,1.2824,0.1666667,11.622198,324.207905,0.05,5
-2490.23,489.53,-566.58,13803,1.1318,-0.8426,-1,1.9219,0.1666667,11.709736,352.354067,0.05,5
-2481.09,480.95,-540.85,13731,0.838,-0.3381,-1,1.3578,0.1666667,11.508772,302.146637,0.05,5
-2488.913,486.818,-546.395,13777,0.834,-0.3438,-1,1.354,0.1666667,11.58286,315.799128,0.05,5
-2483.45,484.23,-556.69,13757,0.776,-0.317,-1,1.263,0.1666667,11.659618,331.807371,0.05,5
-2479.5,462.18,-448.61,13673,0.825,-0.465,-1,1.355,0.1666667,11.713166,342.210671,0.05,5
-2480.8,461.29,-433.93,13669,0.848,-0.492,-1,1.393,0.1666667,11.713267,341.357497,0.05,5
-2481.41,480.78,-538.34,13731,0.8024,-0.3424,-1,1.3061,0.1666667,11.621474,323.975672,0.05,5
-2511.13,510.6,-429.8,13716,0.7998,-0.6213,-1,1.3727,0.1666667,12.476942,529.863466,0.05,5
-1248.29,970.56,107.22,0,-0.17,0,0,1,1,14.182317,1420.647343,0.05,5
-1879.639,313.749,112.677,12527.376,0.25854594,-0.381689,-2.8236379,0.12322898,0.3,7.910769,116.631317,0.05,5
-1101.81,271.67,-138.33,17000,0.583,0,0,1,1,6.885345,3.363532,0.05,5
-1096.8,246.2,-148,17626,0.62,0,0,1,1,7.349335,5.165707,0.05,5
-2203.658,438.349,566.846,12222.736,0.35436918,-1.7829396,-1.4369322,0.63253409,0.2,11.83383,385.45855,0.05,5
-1982.65,368.228,274.611,12141.094,0.28565257,-1.0374037,-1.7808251,0.33936396,0.26,10.292474,129.041595,0.05,5
-2112.248,295.781,142.268,13988.567,0.24388631,-1.4349263,-2.6258991,0.25807017,0.255368,10.219406,119.146194,0.05,5
-1883.278,319.184,197.329,12559.469,0.007688467,-0.59430727,-2.1692149,-0.30953656,0.3,11.235202,229.727044,0.05,5
-1887.367,323.804,351.782,12597.277,-0.23010994,-0.95958627,-1.7754751,-0.72185432,0.3,12.918746,663.05762,0.05,5
-1788.9,301.5,502.5,12764,0.353,-2.5,-1.7,0.475,0.333333,8.207146,24.571138,0.05,5
-1883.68781,277.5002122,608.4309056,13901.94834,0.00974375,-1.77784395,-1.67699035,-0.38079041,0.32195599,7.669916,191.826126,0.05,5
-1003.9,0,0,13287.2,0,0,0,1,1,6.670918,2.830946,0.05,5
-1003.9,0,0,13287.2,0.2,0,0,1,1,6.038735,4.013089,0.05,5
-1987.64,380.92,-109.88,11837.7,0.8897,0,0,1.278,0.25,5.605467,5.233799,0.05,5
